Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
242.0,Oso Ighodaro,23.0,PHO,PF,55.0,7.0,1102.0,135.0,214.0,0.631,0.0,1.0,0.0,135.0,213.0,0.634,0.631,35.0,71.0,0.493,84.0,166.0,250.0,99.0,51.0,33.0,68.0,139.0,305.0,0.0,
243.0,Jordan Miller,26.0,LAC,SF,33.0,0.0,652.0,103.0,201.0,0.512,25.0,70.0,0.357,78.0,131.0,0.595,0.575,70.0,89.0,0.787,31.0,75.0,106.0,54.0,23.0,5.0,39.0,32.0,301.0,0.0,
244.0,Domantas Sabonis,29.0,SAC,C,19.0,15.0,564.0,120.0,221.0,0.543,5.0,27.0,0.185,115.0,194.0,0.593,0.554,56.0,77.0,0.727,64.0,152.0,216.0,78.0,18.0,4.0,51.0,66.0,301.0,0.0,
245.0,GG Jackson II,21.0,MEM,PF,33.0,8.0,616.0,110.0,228.0,0.482,33.0,101.0,0.327,77.0,127.0,0.606,0.555,43.0,58.0,0.741,19.0,100.0,119.0,40.0,22.0,21.0,33.0,53.0,296.0,0.0,
246.0,Herbert Jones,27.0,NOP,SF,33.0,33.0,949.0,109.0,278.0,0.392,44.0,144.0,0.306,65.0,134.0,0.485,0.471,31.0,40.0,0.775,30.0,88.0,118.0,87.0,53.0,16.0,44.0,105.0,293.0,0.0,
247.0,Vince Williams Jr.,25.0,2TM,PG,38.0,12.0,789.0,101.0,281.0,0.359,53.0,169.0,0.314,48.0,112.0,0.429,0.454,37.0,46.0,0.804,38.0,111.0,149.0,161.0,28.0,16.0,67.0,76.0,292.0,0.0,
247.0,Vince Williams Jr.,25.0,MEM,PG,34.0,12.0,736.0,93.0,264.0,0.352,49.0,159.0,0.308,44.0,105.0,0.419,0.445,37.0,46.0,0.804,34.0,102.0,136.0,150.0,27.0,14.0,63.0,71.0,272.0,0.0,
247.0,Vince Williams Jr.,25.0,UTA,SG,4.0,0.0,53.0,8.0,17.0,0.471,4.0,10.0,0.4,4.0,7.0,0.571,0.588,0.0,0.0,,4.0,9.0,13.0,11.0,1.0,2.0,4.0,5.0,20.0,0.0,
248.0,Kristaps Porziņģis,30.0,ATL,C,17.0,12.0,413.0,96.0,210.0,0.457,31.0,86.0,0.36,65.0,124.0,0.524,0.531,68.0,81.0,0.84,21.0,66.0,87.0,46.0,9.0,22.0,16.0,54.0,291.0,0.0,
249.0,Ryan Dunn,23.0,PHO,SF,48.0,11.0,934.0,115.0,261.0,0.441,39.0,120.0,0.325,76.0,141.0,0.539,0.515,20.0,34.0,0.588,69.0,127.0,196.0,74.0,42.0,20.0,45.0,102.0,289.0,0.0,
250.0,Nae'Qwan Tomlin,25.0,CLE,PF,44.0,2.0,750.0,116.0,238.0,0.487,19.0,87.0,0.218,97.0,151.0,0.642,0.527,38.0,51.0,0.745,62.0,76.0,138.0,41.0,34.0,28.0,17.0,92.0,289.0,0.0,
251.0,Landry Shamet,28.0,NYK,SG,30.0,9.0,658.0,94.0,211.0,0.445,65.0,154.0,0.422,29.0,57.0,0.509,0.6,34.0,47.0,0.723,15.0,42.0,57.0,46.0,15.0,6.0,13.0,42.0,287.0,0.0,
252.0,Ben Sheppard,24.0,IND,SG,44.0,14.0,939.0,101.0,252.0,0.401,55.0,159.0,0.346,46.0,93.0,0.495,0.51,27.0,35.0,0.771,25.0,112.0,137.0,80.0,22.0,4.0,25.0,76.0,284.0,0.0,
253.0,Jared McCain,21.0,2TM,SG,41.0,1.0,694.0,102.0,260.0,0.392,51.0,133.0,0.383,51.0,127.0,0.402,0.49,27.0,31.0,0.871,10.0,77.0,87.0,66.0,24.0,2.0,36.0,48.0,282.0,0.0,
253.0,Jared McCain,21.0,PHI,SG,37.0,1.0,620.0,89.0,231.0,0.385,45.0,119.0,0.378,44.0,112.0,0.393,0.483,22.0,25.0,0.88,6.0,69.0,75.0,62.0,22.0,2.0,30.0,43.0,245.0,0.0,
253.0,Jared McCain,21.0,OKC,SG,4.0,0.0,74.0,13.0,29.0,0.448,6.0,14.0,0.429,7.0,15.0,0.467,0.552,5.0,6.0,0.833,4.0,8.0,12.0,4.0,2.0,0.0,6.0,5.0,37.0,0.0,
254.0,Ja'Kobe Walter,21.0,TOR,SG,45.0,10.0,827.0,97.0,226.0,0.429,50.0,143.0,0.35,47.0,83.0,0.566,0.54,36.0,45.0,0.8,31.0,67.0,98.0,45.0,41.0,8.0,25.0,92.0,280.0,0.0,
255.0,Caris LeVert,31.0,DET,SG,36.0,0.0,706.0,101.0,234.0,0.432,39.0,114.0,0.342,62.0,120.0,0.517,0.515,38.0,56.0,0.679,12.0,53.0,65.0,102.0,33.0,23.0,46.0,57.0,279.0,0.0,
256.0,Keegan Murray,25.0,SAC,PF,19.0,18.0,683.0,111.0,259.0,0.429,25.0,92.0,0.272,86.0,167.0,0.515,0.477,30.0,38.0,0.789,30.0,86.0,116.0,29.0,23.0,30.0,22.0,37.0,277.0,0.0,
257.0,Andre Drummond,32.0,PHI,C,40.0,19.0,790.0,109.0,217.0,0.502,19.0,51.0,0.373,90.0,166.0,0.542,0.546,39.0,62.0,0.629,135.0,209.0,344.0,34.0,22.0,35.0,40.0,78.0,276.0,0.0,
258.0,Spencer Jones,24.0,DEN,SF,46.0,34.0,1086.0,99.0,196.0,0.505,48.0,116.0,0.414,51.0,80.0,0.638,0.628,28.0,45.0,0.622,51.0,92.0,143.0,38.0,42.0,20.0,26.0,129.0,274.0,0.0,
259.0,Josh Okogie,27.0,HOU,SG,52.0,29.0,1021.0,96.0,219.0,0.438,47.0,121.0,0.388,49.0,98.0,0.5,0.546,33.0,55.0,0.6,62.0,84.0,146.0,46.0,48.0,12.0,35.0,85.0,272.0,0.0,
260.0,Jordan Walsh,21.0,BOS,PF,48.0,20.0,886.0,102.0,199.0,0.513,32.0,86.0,0.372,70.0,113.0,0.619,0.593,35.0,45.0,0.778,71.0,137.0,208.0,41.0,41.0,23.0,25.0,107.0,271.0,0.0,
