Rank,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1.0,Mikal Bridges,28.0,NYK,SF,57.0,57.0,2162.0,13.3,0.574,0.429,0.074,2.8,6.7,4.8,12.1,1.3,1.3,9.1,19.1,2.3,1.0,3.3,0.073,0.2,-1.4,-1.1,0.5,
2.0,Anthony Edwards,23.0,MIN,SG,57.0,57.0,2097.0,19.2,0.582,0.487,0.292,2.5,15.4,9.0,21.4,1.6,1.6,12.9,31.9,2.5,2.7,5.1,0.118,4.0,-0.3,3.7,3.0,
3.0,Josh Hart,29.0,NYK,SG,54.0,54.0,2043.0,18.0,0.644,0.316,0.276,6.8,22.1,14.6,20.1,2.0,0.9,14.6,15.4,5.1,2.3,7.4,0.173,2.1,1.4,3.5,2.8,
4.0,Jalen Brunson,28.0,NYK,PG,56.0,56.0,1969.0,22.1,0.607,0.32,0.372,1.4,7.8,4.6,32.3,1.3,0.2,10.3,29.3,6.5,0.9,7.4,0.18,4.8,-1.8,3.0,2.5,
5.0,Jayson Tatum,26.0,BOS,PF,54.0,54.0,1963.0,22.0,0.588,0.506,0.32,1.7,24.3,13.0,25.7,1.6,1.3,10.8,30.6,4.2,3.2,7.4,0.182,4.6,0.9,5.5,3.7,
6.0,Trae Young,26.0,ATL,PG,54.0,54.0,1960.0,17.5,0.56,0.489,0.399,1.4,8.1,4.6,46.8,1.5,0.5,18.5,29.5,2.3,1.1,3.4,0.084,2.6,-2.6,0.0,1.0,
7.0,De'Aaron Fox,27.0,2TM,PG,53.0,53.0,1943.0,19.0,0.567,0.323,0.288,2.8,12.1,7.4,26.7,2.0,1.1,11.7,28.4,2.8,1.7,4.4,0.109,1.8,-0.8,1.0,1.5,
8.0,De'Aaron Fox,27.0,SAC,PG,45.0,45.0,1663.0,18.9,0.567,0.324,0.279,3.0,11.9,7.5,25.8,1.9,1.2,11.8,28.7,2.3,1.4,3.7,0.106,2.0,-0.9,1.1,1.3,
9.0,De'Aaron Fox,27.0,SAS,PG,8.0,8.0,280.0,19.1,0.566,0.316,0.353,1.5,12.7,7.2,31.7,2.8,0.9,11.0,26.3,0.5,0.3,0.7,0.127,0.5,0.1,0.6,0.2,
10.0,Domantas Sabonis,28.0,SAC,C,54.0,54.0,1938.0,23.2,0.665,0.18,0.328,12.6,32.0,22.3,26.1,0.8,1.0,16.8,21.4,6.2,2.2,8.4,0.209,4.4,0.8,5.2,3.5,
11.0,Tyler Herro,25.0,MIA,SG,54.0,54.0,1929.0,19.1,0.602,0.541,0.24,1.1,15.5,8.4,27.2,1.1,0.3,11.9,28.0,3.1,1.8,4.9,0.121,3.8,-1.0,2.8,2.3,
12.0,Shai Gilgeous-Alexander,26.0,OKC,PG,56.0,56.0,1917.0,30.8,0.64,0.266,0.418,2.8,13.3,8.1,30.7,2.6,3.1,9.3,34.7,8.7,3.9,12.6,0.315,8.6,2.9,11.6,6.6,
13.0,Jaden McDaniels,24.0,MIN,PF,59.0,59.0,1904.0,12.9,0.56,0.386,0.174,5.5,14.2,9.9,8.4,2.1,2.5,9.9,15.9,1.7,2.8,4.5,0.112,-1.5,1.5,0.0,0.9,
14.0,Jalen Green,22.0,HOU,SG,57.0,57.0,1902.0,15.0,0.549,0.462,0.231,1.8,12.1,6.8,14.7,1.2,0.9,11.5,27.3,1.4,2.2,3.5,0.09,1.3,-0.8,0.5,1.2,
15.0,Devin Booker,28.0,PHO,SG,51.0,51.0,1900.0,20.2,0.592,0.405,0.376,2.9,8.7,5.9,29.6,1.4,0.7,10.8,29.3,4.6,0.5,5.2,0.13,3.2,-2.0,1.2,1.5,
16.0,Christian Braun,23.0,DEN,SG,57.0,55.0,1884.0,15.7,0.657,0.256,0.28,4.5,12.0,8.4,8.6,1.6,1.4,7.9,15.7,4.2,1.4,5.7,0.145,0.5,-0.5,0.0,0.9,
17.0,Cade Cunningham,23.0,DET,PG,53.0,53.0,1882.0,20.5,0.559,0.308,0.241,2.6,16.9,9.8,43.9,1.4,2.1,16.1,32.7,2.4,2.1,4.6,0.116,3.9,-0.1,3.8,2.7,
18.0,Keegan Murray,24.0,SAC,PF,54.0,54.0,1879.0,11.3,0.539,0.527,0.097,6.6,15.5,11.1,5.4,1.2,2.4,7.4,14.7,1.4,1.5,2.9,0.075,-1.3,-0.9,-2.3,-0.1,
19.0,Kelly Oubre Jr.,29.0,PHI,SF,54.0,51.0,1876.0,13.3,0.544,0.331,0.238,5.3,16.5,10.6,7.9,2.1,1.4,8.9,18.7,1.1,1.5,2.6,0.066,-1.9,-0.6,-2.5,-0.2,
20.0,Nikola Jokić,29.0,DEN,C,52.0,52.0,1873.0,33.0,0.663,0.235,0.31,9.6,27.9,19.2,45.1,2.4,1.6,12.6,29.5,9.9,2.8,12.8,0.328,10.6,3.5,14.0,7.6,
21.0,Tyrese Haliburton,24.0,IND,PG,55.0,55.0,1871.0,20.1,0.599,0.574,0.217,1.9,9.5,5.8,35.8,1.9,1.7,10.4,21.5,5.2,1.4,6.6,0.17,4.7,-0.4,4.2,3.0,
22.0,DeMar DeRozan,35.0,SAC,SF,52.0,52.0,1863.0,17.8,0.582,0.18,0.34,1.6,10.5,6.0,15.8,1.3,1.1,6.6,24.1,3.9,1.2,5.0,0.13,0.9,-1.0,0.0,0.9,
23.0,James Harden,35.0,LAC,PG,54.0,54.0,1862.0,18.6,0.563,0.518,0.432,2.2,17.0,9.6,37.6,2.1,1.9,19.2,29.7,1.5,2.9,4.4,0.113,2.5,0.7,3.2,2.4,
24.0,Tyrese Maxey,24.0,PHI,PG,49.0,49.0,1854.0,20.6,0.575,0.445,0.273,0.8,10.0,5.2,28.4,2.3,1.1,9.5,30.3,3.4,1.2,4.5,0.118,3.8,-1.0,2.8,2.2,
25.0,Pascal Siakam,30.0,IND,PF,56.0,56.0,1850.0,19.8,0.607,0.278,0.271,6.1,18.6,12.4,15.3,1.4,1.3,7.1,23.7,4.3,1.6,5.9,0.153,2.6,-0.6,1.9,1.8,
26.0,Bam Adebayo,27.0,MIA,C,54.0,54.0,1844.0,17.8,0.543,0.187,0.298,8.3,23.2,15.9,20.4,1.8,2.1,12.3,22.9,1.7,2.7,4.4,0.116,0.1,0.8,1.0,1.4,
27.0,OG Anunoby,27.0,NYK,PF,51.0,51.0,1840.0,14.0,0.588,0.455,0.194,4.0,10.3,7.2,7.4,1.9,2.2,8.8,17.9,2.2,1.5,3.7,0.097,-0.1,-0.4,-0.5,0.7,
28.0,Jamal Murray,27.0,DEN,PG,51.0,51.0,1832.0,17.6,0.583,0.355,0.209,1.9,9.3,5.8,23.2,1.9,1.4,10.9,23.9,3.3,1.4,4.7,0.123,1.6,-0.9,0.6,1.2,
29.0,Rudy Gobert,32.0,MIN,C,55.0,55.0,1831.0,16.9,0.676,0.0,0.547,11.8,22.6,17.3,7.9,1.0,4.3,14.4,12.3,4.1,2.9,7.0,0.182,0.0,1.3,1.3,1.5,
30.0,Michael Porter Jr.,26.0,DEN,SF,55.0,55.0,1823.0,17.2,0.628,0.456,0.186,6.4,15.5,11.2,9.0,0.9,1.2,8.3,20.6,3.8,1.2,5.0,0.132,2.3,-1.8,0.5,1.1,
31.0,Karl-Anthony Towns,29.0,NYK,C,52.0,52.0,1823.0,24.8,0.639,0.284,0.335,10.3,33.2,21.9,14.1,1.4,2.0,11.7,27.1,5.5,2.6,8.1,0.212,4.4,-0.1,4.3,2.9,
32.0,Toumani Camara,24.0,POR,PF,56.0,56.0,1815.0,11.9,0.567,0.477,0.174,7.7,12.7,10.1,9.0,2.2,1.9,13.9,13.8,1.5,1.6,3.1,0.082,-1.4,0.5,-0.9,0.5,
33.0,Derrick White,30.0,BOS,SG,54.0,54.0,1812.0,16.2,0.607,0.704,0.17,3.0,11.3,7.1,18.4,1.2,2.9,10.9,19.4,3.5,2.3,5.8,0.154,2.5,0.6,3.1,2.3,
34.0,Dyson Daniels,21.0,ATL,SG,53.0,53.0,1804.0,14.9,0.529,0.271,0.156,5.2,12.9,8.9,16.5,4.2,2.1,12.2,18.0,0.6,2.7,3.3,0.089,-1.7,2.8,1.1,1.4,
35.0,Nikola Vučević,34.0,CHI,C,56.0,56.0,1799.0,20.0,0.614,0.312,0.146,7.7,25.5,16.7,16.5,1.3,1.8,9.9,22.5,3.6,1.8,5.4,0.143,2.2,-0.2,1.9,1.8,
36.0,Tobias Harris,32.0,DET,PF,56.0,56.0,1795.0,13.6,0.562,0.332,0.197,3.2,17.0,10.1,9.9,1.4,2.3,8.4,17.6,1.8,2.0,3.8,0.103,-0.7,0.3,-0.4,0.7,
37.0,Jalen Williams,23.0,OKC,SG,54.0,54.0,1768.0,19.7,0.56,0.292,0.231,2.9,14.8,8.9,23.5,2.6,2.2,10.8,27.2,2.4,3.6,6.0,0.162,2.2,1.6,3.8,2.6,
38.0,Bilal Coulibaly,20.0,WAS,SF,53.0,53.0,1767.0,10.8,0.515,0.363,0.297,4.5,11.3,7.9,15.5,1.8,1.8,15.0,17.8,-0.4,0.7,0.3,0.009,-2.9,-0.7,-3.6,-0.7,
39.0,LeBron James,40.0,LAL,SF,51.0,51.0,1764.0,23.4,0.608,0.315,0.245,3.0,21.8,12.7,43.8,1.3,1.6,16.1,30.7,3.7,2.0,5.7,0.156,5.3,0.7,6.0,3.6,
40.0,Ivica Zubac,27.0,LAC,C,55.0,55.0,1761.0,21.4,0.624,0.0,0.256,13.3,30.5,21.9,12.4,1.2,3.7,12.1,18.9,3.9,3.3,7.2,0.196,1.6,0.8,2.4,2.0,
41.0,Brook Lopez,36.0,MIL,C,55.0,55.0,1746.0,14.1,0.603,0.524,0.162,4.4,11.7,8.2,7.5,1.0,5.8,8.8,15.6,2.0,2.1,4.1,0.112,0.1,0.4,0.5,1.1,
42.0,Anfernee Simons,25.0,POR,SG,54.0,54.0,1746.0,14.9,0.558,0.528,0.18,1.0,8.3,4.6,24.6,1.2,0.3,11.2,24.5,2.2,0.7,2.8,0.078,1.5,-1.8,-0.4,0.7,
43.0,Dillon Brooks,29.0,HOU,SF,54.0,54.0,1741.0,10.2,0.54,0.518,0.146,3.8,9.1,6.4,7.0,1.2,0.6,7.5,17.1,1.6,1.8,3.4,0.094,-1.8,-0.2,-2.0,0.0,
44.0,Amen Thompson,22.0,HOU,SF,54.0,27.0,1735.0,18.3,0.603,0.132,0.405,8.7,18.5,13.4,15.5,2.1,3.6,15.3,17.5,2.9,3.1,6.0,0.166,1.0,2.3,3.4,2.3,
45.0,Austin Reaves,26.0,LAL,SG,50.0,50.0,1734.0,17.4,0.597,0.511,0.35,2.8,11.0,7.0,26.1,1.6,0.8,13.4,23.5,3.2,1.4,4.7,0.129,1.9,-0.6,1.3,1.4,
46.0,Zach LaVine,29.0,2TM,SF,50.0,50.0,1720.0,18.3,0.635,0.435,0.257,0.9,13.0,7.0,20.5,1.3,0.6,13.2,26.4,2.5,0.9,3.5,0.097,2.5,-1.4,1.1,1.3,
47.0,Zach LaVine,29.0,CHI,SF,42.0,42.0,1432.0,18.5,0.637,0.43,0.256,0.9,13.7,7.4,21.0,1.3,0.6,13.3,26.6,2.1,0.8,2.9,0.097,2.7,-1.3,1.4,1.2,
48.0,Zach LaVine,29.0,SAC,SG,8.0,8.0,288.0,17.0,0.62,0.466,0.263,0.8,9.2,5.0,18.3,1.3,0.3,12.9,25.2,0.4,0.2,0.6,0.1,1.4,-1.9,-0.5,0.1,
49.0,Kentavious Caldwell-Pope,31.0,ORL,SG,56.0,56.0,1690.0,9.1,0.54,0.623,0.185,1.4,6.9,4.0,8.5,2.3,1.5,9.4,12.6,0.6,2.4,3.0,0.084,-3.8,1.6,-2.1,0.0,
50.0,Donovan Mitchell,28.0,CLE,SG,54.0,54.0,1687.0,21.5,0.588,0.492,0.234,2.7,12.0,7.5,22.9,2.1,0.6,8.9,30.7,4.1,2.1,6.1,0.175,4.4,-0.2,4.2,2.7,
51.0,Jaylen Brown,28.0,BOS,SF,48.0,48.0,1687.0,17.9,0.552,0.325,0.282,4.5,14.2,9.4,21.8,1.7,0.7,11.3,29.0,1.9,2.2,4.1,0.117,0.5,-0.5,0.0,0.9,
52.0,Alperen Şengün,22.0,HOU,C,54.0,54.0,1686.0,21.6,0.536,0.095,0.348,11.0,25.2,17.9,25.1,1.8,2.1,12.2,26.6,2.7,3.1,5.8,0.166,2.7,1.8,4.5,2.7,
53.0,Kyrie Irving,32.0,DAL,SG,46.0,46.0,1678.0,20.0,0.597,0.381,0.223,3.6,10.3,7.0,20.7,1.7,1.0,9.7,26.9,3.7,1.3,5.0,0.142,3.9,-0.6,3.4,2.3,
54.0,Damian Lillard,34.0,MIL,PG,46.0,46.0,1676.0,21.9,0.622,0.524,0.398,1.7,11.9,7.0,31.5,1.6,0.5,12.5,28.1,4.9,1.5,6.4,0.184,4.9,-0.9,3.9,2.5,
55.0,Bennedict Mathurin,22.0,IND,SF,54.0,44.0,1672.0,13.7,0.588,0.338,0.34,4.5,15.3,10.0,8.5,0.9,1.1,11.9,21.9,1.2,1.1,2.3,0.066,-1.1,-1.8,-2.9,-0.4,
