Rank,W,L,W/L%,GB,PS/G,PA/G,SRS,Team
Cleveland Cavaliers (1),47,10,0.825,—,122.9,111.7,10.25,
Boston Celtics (2),41,16,0.719,6.0,117.4,108.0,8.79,
New York Knicks (3),37,20,0.649,10.0,117.9,113.1,4.04,
Milwaukee Bucks (4),32,24,0.571,14.5,114.2,112.6,0.58,
Indiana Pacers (5),32,24,0.571,14.5,116.4,115.6,0.3,
Detroit Pistons (6),32,26,0.552,15.5,114.2,113.3,0.49,
Orlando Magic (7),29,30,0.492,19.0,104.3,105.2,-1.66,
Atlanta Hawks (8),27,31,0.466,20.5,116.7,119.0,-2.42,
Miami Heat (9),26,30,0.464,20.5,109.7,110.7,-1.37,
Chicago Bulls (10),23,35,0.397,24.5,116.4,120.4,-4.21,
Brooklyn Nets (11),21,36,0.368,26.0,104.8,110.8,-6.06,
Philadelphia 76ers (12),20,37,0.351,27.0,108.9,113.5,-4.55,
Toronto Raptors (13),18,39,0.316,29.0,110.9,116.4,-4.13,
Charlotte Hornets (14),14,42,0.25,32.5,105.6,112.7,-7.37,
Washington Wizards (15),10,47,0.175,37.0,108.1,121.1,-11.83,
,46,11,0.807,—,118.4,105.7,12.59,Oklahoma City Thunder (1)
,38,20,0.655,8.5,121.3,116.0,4.87,Denver Nuggets (2)
,37,20,0.649,9.0,122.8,116.0,6.3,Memphis Grizzlies (3)
,34,21,0.618,11.0,113.1,111.8,0.89,Los Angeles Lakers (4)
,35,22,0.614,11.0,112.9,109.0,4.68,Houston Rockets (5)
,31,26,0.544,15.0,110.7,108.5,2.36,Los Angeles Clippers (6)
,32,27,0.542,15.0,112.1,109.0,4.26,Minnesota Timberwolves (7)
,31,27,0.534,15.5,115.4,113.5,2.55,Dallas Mavericks (8)
,30,27,0.526,16.0,112.5,111.4,2.05,Golden State Warriors (9)
,29,28,0.509,17.0,116.9,115.8,0.6,Sacramento Kings (10)
,27,30,0.474,19.0,113.2,115.3,-2.57,Phoenix Suns (11)
,24,31,0.436,21.0,112.7,114.5,-1.84,San Antonio Spurs (12)
,25,33,0.431,21.5,109.7,114.2,-4.17,Portland Trail Blazers (13)
,14,43,0.246,32.0,110.5,118.9,-7.37,New Orleans Pelicans (14)
,14,43,0.246,32.0,112.4,119.4,-6.26,Utah Jazz (15)
