Rank,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,Shai Gilgeous-Alexander,26.0,OKC,PG,56.0,56.0,34.2,11.2,21.4,0.523,2.1,5.7,0.364,9.1,15.7,0.58,0.571,8.0,8.9,0.892,0.9,4.3,5.2,6.2,1.9,1.1,2.6,2.3,32.4,
2.0,Giannis Antetokounmpo,30.0,MIL,PF,44.0,44.0,34.2,12.5,20.4,0.61,0.2,0.8,0.194,12.3,19.6,0.628,0.614,6.0,10.4,0.577,2.3,9.8,12.0,5.8,0.8,1.3,3.5,2.5,31.0,
3.0,Nikola Jokić,29.0,DEN,C,52.0,52.0,36.0,11.1,19.3,0.575,2.0,4.5,0.445,9.1,14.8,0.614,0.627,4.9,6.0,0.821,3.0,9.6,12.6,10.4,1.8,0.7,3.2,2.1,29.2,
4.0,Anthony Edwards,23.0,MIN,SG,57.0,57.0,36.8,9.1,20.9,0.436,4.1,10.2,0.406,5.0,10.7,0.465,0.535,5.1,6.1,0.833,0.8,5.2,6.0,4.6,1.2,0.6,3.5,1.9,27.5,
5.0,Tyrese Maxey,24.0,PHI,PG,49.0,49.0,37.8,9.4,21.1,0.447,3.3,9.4,0.349,6.1,11.7,0.525,0.524,5.0,5.8,0.876,0.3,3.1,3.4,6.0,1.8,0.4,2.5,2.3,27.1,
6.0,Kevin Durant,36.0,PHO,PF,44.0,44.0,36.6,9.8,18.4,0.532,2.3,5.8,0.401,7.5,12.6,0.593,0.596,5.0,6.1,0.824,0.4,5.6,6.0,4.2,0.9,1.4,3.0,1.7,26.9,
7.0,Jayson Tatum,26.0,BOS,PF,54.0,54.0,36.4,9.0,20.0,0.453,3.6,10.1,0.356,5.4,9.9,0.552,0.543,5.1,6.4,0.8,0.6,8.2,8.8,5.7,1.1,0.5,2.8,2.2,26.8,
8.0,Luka Dončić,25.0,2TM,PG,26.0,26.0,34.5,9.3,20.5,0.454,3.2,9.4,0.343,6.1,11.1,0.549,0.533,4.9,6.4,0.765,0.8,7.4,8.2,7.5,1.9,0.4,3.4,2.7,26.7,
9.0,Luka Dončić,25.0,DAL,PG,22.0,22.0,35.7,9.8,21.2,0.464,3.4,9.6,0.354,6.4,11.5,0.555,0.544,5.1,6.6,0.767,0.7,7.6,8.3,7.8,2.0,0.4,3.4,2.6,28.1,
10.0,Luka Dončić,25.0,LAL,PG,4.0,4.0,27.8,6.5,16.8,0.388,2.3,8.3,0.273,4.3,8.5,0.5,0.455,3.8,5.0,0.75,1.0,6.5,7.5,5.8,1.5,0.5,3.3,3.3,19.0,
11.0,LaMelo Ball,23.0,CHO,PG,36.0,36.0,32.3,9.1,22.1,0.411,3.9,11.6,0.333,5.2,10.4,0.497,0.498,4.3,5.2,0.83,0.9,4.1,5.1,7.1,1.3,0.3,3.4,3.2,26.3,
12.0,Devin Booker,28.0,PHO,SG,51.0,51.0,37.3,8.6,18.9,0.452,2.6,7.7,0.343,5.9,11.3,0.527,0.522,6.4,7.1,0.895,0.9,3.1,4.0,6.7,1.1,0.3,2.7,2.5,26.1,
13.0,Jalen Brunson,28.0,NYK,PG,56.0,56.0,35.2,9.0,18.4,0.491,2.3,5.9,0.395,6.7,12.5,0.536,0.554,5.6,6.8,0.82,0.4,2.4,2.9,7.4,0.9,0.1,2.5,2.2,26.0,
14.0,Cade Cunningham,23.0,DET,PG,53.0,53.0,35.5,9.6,20.8,0.46,2.3,6.4,0.365,7.2,14.4,0.502,0.516,4.3,5.0,0.85,0.8,5.5,6.3,9.5,1.0,0.8,4.4,2.6,25.8,
15.0,Anthony Davis,31.0,2TM,PF,43.0,43.0,34.2,9.5,18.0,0.528,0.7,2.2,0.313,8.8,15.8,0.559,0.548,6.0,7.6,0.786,2.9,9.1,12.0,3.4,1.3,2.2,2.2,1.9,25.7,
16.0,Anthony Davis,31.0,LAL,C,42.0,42.0,34.3,9.5,18.0,0.528,0.7,2.2,0.298,8.9,15.8,0.56,0.546,6.0,7.6,0.788,2.8,9.0,11.9,3.4,1.3,2.1,2.2,2.0,25.7,
17.0,Anthony Davis,31.0,DAL,PF,1.0,1.0,31.0,10.0,18.0,0.556,2.0,2.0,1.0,8.0,16.0,0.5,0.611,4.0,6.0,0.667,4.0,12.0,16.0,7.0,0.0,3.0,1.0,0.0,26.0,
18.0,Damian Lillard,34.0,MIL,PG,46.0,46.0,36.4,7.8,17.5,0.449,3.5,9.2,0.38,4.4,8.3,0.525,0.549,6.4,7.0,0.919,0.6,4.2,4.7,7.5,1.2,0.2,2.9,1.8,25.6,
19.0,Franz Wagner,23.0,ORL,SF,39.0,39.0,33.1,9.1,19.5,0.467,1.9,6.3,0.307,7.2,13.3,0.542,0.516,4.9,5.7,0.852,1.0,4.7,5.7,4.9,1.4,0.4,2.3,2.5,25.1,
20.0,Karl-Anthony Towns,29.0,NYK,C,52.0,52.0,35.1,9.0,16.9,0.532,2.1,4.8,0.432,6.9,12.1,0.571,0.593,4.8,5.7,0.837,3.1,10.4,13.5,3.2,1.0,0.8,2.6,3.5,24.8,
21.0,Kyrie Irving,32.0,DAL,SG,46.0,46.0,36.5,9.0,18.8,0.476,2.9,7.2,0.409,6.0,11.7,0.518,0.554,3.8,4.2,0.907,1.2,3.6,4.7,4.7,1.3,0.4,2.2,2.1,24.7,
22.0,LeBron James,40.0,LAL,SF,51.0,51.0,34.6,9.5,18.3,0.518,2.3,5.8,0.395,7.2,12.5,0.574,0.58,3.5,4.5,0.769,0.9,6.9,7.7,8.8,0.9,0.6,3.9,1.4,24.7,
23.0,Cam Thomas,23.0,BRK,SG,19.0,17.0,32.3,7.9,17.7,0.448,2.8,7.6,0.375,5.1,10.2,0.503,0.528,5.9,6.8,0.876,0.5,3.1,3.6,3.4,0.7,0.1,2.7,1.9,24.7,
24.0,De'Aaron Fox,27.0,2TM,PG,53.0,53.0,36.7,9.0,19.2,0.469,2.0,6.2,0.32,7.0,13.0,0.539,0.52,4.5,5.5,0.823,0.9,4.0,5.0,6.3,1.5,0.4,2.9,2.7,24.5,
25.0,De'Aaron Fox,27.0,SAC,PG,45.0,45.0,37.0,9.2,19.6,0.469,2.0,6.4,0.322,7.2,13.3,0.539,0.521,4.5,5.5,0.829,1.0,4.0,5.0,6.1,1.5,0.4,3.0,2.6,25.0,
26.0,De'Aaron Fox,27.0,SAS,PG,8.0,8.0,35.0,7.8,16.6,0.466,1.6,5.3,0.31,6.1,11.4,0.538,0.515,4.6,5.9,0.787,0.5,4.3,4.8,7.0,2.0,0.4,2.4,3.1,21.8,
27.0,Zion Williamson,24.0,NOP,PF,20.0,20.0,28.2,9.4,17.0,0.552,0.2,0.6,0.25,9.2,16.4,0.563,0.556,5.7,8.8,0.646,2.7,4.8,7.5,4.8,1.4,1.0,3.0,2.9,24.5,
28.0,Victor Wembanyama,21.0,SAS,C,46.0,46.0,33.2,8.9,18.6,0.476,3.1,8.8,0.352,5.8,9.9,0.586,0.559,3.4,4.1,0.836,1.8,9.2,11.0,3.7,1.1,3.8,3.2,2.3,24.3,
29.0,Donovan Mitchell,28.0,CLE,SG,54.0,54.0,31.2,8.5,18.6,0.456,3.6,9.2,0.396,4.9,9.5,0.514,0.553,3.6,4.4,0.818,0.7,3.6,4.3,4.8,1.4,0.2,2.0,2.0,24.2,
30.0,Norman Powell,31.0,LAC,SG,45.0,45.0,33.6,8.4,17.0,0.496,3.4,7.8,0.428,5.1,9.1,0.555,0.595,4.0,4.9,0.819,0.4,3.2,3.6,2.2,1.3,0.2,2.1,1.9,24.2,
31.0,Tyler Herro,25.0,MIA,SG,54.0,54.0,35.7,8.3,18.0,0.461,3.6,9.8,0.372,4.7,8.3,0.566,0.562,3.7,4.3,0.863,0.4,5.2,5.5,5.6,0.8,0.1,2.7,1.3,24.0,
32.0,Trae Young,26.0,ATL,PG,54.0,54.0,36.3,7.4,18.2,0.407,3.0,8.9,0.333,4.4,9.3,0.478,0.488,6.2,7.3,0.855,0.5,2.6,3.1,11.5,1.2,0.2,4.9,2.1,24.0,
33.0,Zach LaVine,29.0,2TM,SF,50.0,50.0,34.4,8.6,16.9,0.508,3.2,7.3,0.431,5.4,9.5,0.567,0.601,3.5,4.3,0.816,0.3,4.3,4.6,4.5,0.9,0.2,2.9,1.6,23.8,
34.0,Zach LaVine,29.0,CHI,SF,42.0,42.0,34.1,8.6,16.9,0.511,3.2,7.3,0.446,5.4,9.6,0.56,0.607,3.5,4.3,0.797,0.3,4.5,4.8,4.5,0.9,0.2,2.9,1.5,24.0,
35.0,Zach LaVine,29.0,SAC,SG,8.0,8.0,36.0,8.1,16.6,0.489,2.8,7.8,0.355,5.4,8.9,0.606,0.571,4.0,4.4,0.914,0.3,3.0,3.3,4.4,1.0,0.1,2.8,1.8,23.0,
36.0,Joel Embiid,30.0,PHI,C,19.0,19.0,30.2,7.4,16.6,0.444,1.2,4.1,0.299,6.2,12.5,0.492,0.481,7.8,8.9,0.882,1.9,6.3,8.2,4.5,0.7,0.9,3.3,2.2,23.8,
37.0,Stephen Curry,36.0,GSW,PG,48.0,48.0,32.1,7.9,17.9,0.44,4.3,11.1,0.39,3.5,6.8,0.52,0.56,3.4,3.7,0.927,0.5,3.9,4.5,6.1,1.0,0.5,2.9,1.3,23.5,
38.0,Paolo Banchero,22.0,ORL,PF,25.0,25.0,33.1,7.9,18.8,0.419,1.7,5.6,0.3,6.2,13.2,0.47,0.464,5.4,8.1,0.673,1.1,6.0,7.1,4.9,0.6,0.8,3.0,2.2,22.9,
39.0,Jaylen Brown,28.0,BOS,SF,48.0,48.0,35.1,8.5,18.4,0.462,1.9,6.0,0.323,6.6,12.4,0.529,0.515,3.9,5.2,0.752,1.5,4.6,6.1,4.8,1.2,0.3,2.6,2.6,22.9,
40.0,Jaren Jackson Jr.,25.0,MEM,C,55.0,55.0,29.6,8.2,16.7,0.492,1.9,5.2,0.354,6.3,11.4,0.555,0.547,4.5,5.9,0.771,1.4,4.6,6.0,2.2,1.3,1.7,2.2,3.4,22.8,
41.0,Brandon Ingram,27.0,NOP,SF,18.0,18.0,33.1,8.6,18.5,0.465,2.4,6.4,0.374,6.2,12.1,0.514,0.53,2.6,3.1,0.855,0.9,4.6,5.6,5.2,0.9,0.6,3.8,2.5,22.2,
42.0,Trey Murphy III,24.0,NOP,SF,41.0,39.0,35.7,7.4,16.2,0.459,3.2,8.5,0.376,4.2,7.7,0.549,0.557,4.1,4.6,0.889,0.8,4.4,5.2,3.7,1.1,0.7,1.8,2.2,22.2,
43.0,DeMar DeRozan,35.0,SAC,SF,52.0,52.0,35.8,8.1,16.5,0.489,1.1,3.0,0.357,7.0,13.5,0.518,0.521,4.9,5.6,0.873,0.5,3.4,3.9,3.8,1.0,0.4,1.3,1.9,22.1,
44.0,CJ McCollum,33.0,NOP,PG,43.0,43.0,33.3,8.3,18.3,0.452,3.1,8.2,0.379,5.2,10.1,0.513,0.537,2.5,3.4,0.721,0.7,3.1,3.8,3.8,0.7,0.5,1.8,2.3,22.1,
45.0,RJ Barrett,24.0,TOR,SF,44.0,44.0,33.3,8.2,17.3,0.476,1.9,5.3,0.362,6.3,12.0,0.526,0.531,3.6,5.5,0.65,1.0,5.5,6.5,5.6,0.9,0.3,2.9,2.5,21.9,
