Rank,W,L,W/L%,GB,PS/G,PA/G,SRS,Team
Cleveland Cavaliers* (1),64,18,0.78,—,121.9,112.4,8.81,
Boston Celtics* (2),61,21,0.744,3.0,116.3,107.2,8.28,
New York Knicks* (3),51,31,0.622,13.0,115.8,111.7,3.59,
Indiana Pacers* (4),50,32,0.61,14.0,117.4,115.1,1.68,
Milwaukee Bucks* (5),48,34,0.585,16.0,115.5,113.0,2.12,
Detroit Pistons* (6),44,38,0.537,20.0,115.5,113.6,1.73,
Orlando Magic* (7),41,41,0.5,23.0,105.4,105.5,-0.7,
Atlanta Hawks* (8),40,42,0.488,24.0,118.2,119.3,-1.41,
Chicago Bulls* (9),39,43,0.476,25.0,117.8,119.4,-1.83,
Miami Heat* (10),37,45,0.451,27.0,110.6,110.0,0.11,
Toronto Raptors (11),30,52,0.366,34.0,110.9,115.2,-4.4,
Brooklyn Nets (12),26,56,0.317,38.0,105.1,112.2,-6.95,
Philadelphia 76ers (13),24,58,0.293,40.0,109.6,115.8,-6.29,
Charlotte Hornets (14),19,63,0.232,45.0,105.1,114.2,-9.1,
Washington Wizards (15),18,64,0.22,46.0,108.0,120.4,-12.14,
,68,14,0.829,—,120.5,107.6,12.7,Oklahoma City Thunder* (1)
,52,30,0.634,16.0,114.3,109.8,4.97,Houston Rockets* (2)
,50,32,0.61,18.0,113.4,112.2,1.45,Los Angeles Lakers* (3)
,50,32,0.61,18.0,120.8,116.9,3.97,Denver Nuggets* (4)
,50,32,0.61,18.0,112.9,108.2,4.84,Los Angeles Clippers* (5)
,49,33,0.598,19.0,114.3,109.3,5.15,Minnesota Timberwolves* (6)
,48,34,0.585,20.0,113.8,110.5,3.56,Golden State Warriors* (7)
,48,34,0.585,20.0,121.7,116.9,4.79,Memphis Grizzlies* (8)
,40,42,0.488,28.0,115.7,115.3,0.58,Sacramento Kings* (9)
,39,43,0.476,29.0,114.2,115.4,-0.74,Dallas Mavericks* (10)
,36,46,0.439,32.0,113.6,116.6,-2.55,Phoenix Suns (11)
,36,46,0.439,32.0,110.9,113.9,-2.67,Portland Trail Blazers (12)
,34,48,0.415,34.0,113.9,116.7,-2.45,San Antonio Spurs (13)
,21,61,0.256,47.0,109.8,119.3,-8.59,New Orleans Pelicans (14)
,17,65,0.207,51.0,111.9,121.2,-8.51,Utah Jazz (15)
