Rank,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
222.0,Wendell Carter Jr.,25.0,ORL,C,31.0,22.0,782.0,94.0,213.0,0.441,15.0,74.0,0.203,79.0,139.0,0.568,0.477,63.0,92.0,0.685,51.0,171.0,222.0,68.0,27.0,18.0,25.0,84.0,266.0,0.0,
223.0,Luke Kennard,28.0,MEM,SG,29.0,1.0,622.0,86.0,187.0,0.46,60.0,129.0,0.465,26.0,58.0,0.448,0.62,32.0,36.0,0.889,19.0,69.0,88.0,94.0,16.0,2.0,26.0,23.0,264.0,0.0,
224.0,Sam Hauser,27.0,BOS,PF,35.0,6.0,709.0,92.0,221.0,0.416,68.0,187.0,0.364,24.0,34.0,0.706,0.57,2.0,2.0,1.0,26.0,79.0,105.0,38.0,26.0,7.0,12.0,37.0,254.0,0.0,
225.0,Paolo Banchero,22.0,ORL,PF,10.0,10.0,320.0,84.0,182.0,0.462,19.0,53.0,0.358,65.0,129.0,0.504,0.514,65.0,95.0,0.684,17.0,58.0,75.0,48.0,7.0,8.0,30.0,20.0,252.0,0.0,
226.0,Kris Dunn,30.0,LAC,PG,41.0,28.0,935.0,103.0,245.0,0.42,39.0,128.0,0.305,64.0,117.0,0.547,0.5,6.0,12.0,0.5,27.0,108.0,135.0,112.0,63.0,13.0,48.0,102.0,251.0,0.0,
227.0,Josh Green,24.0,CHO,SG,36.0,35.0,1015.0,89.0,215.0,0.414,50.0,125.0,0.4,39.0,90.0,0.433,0.53,23.0,36.0,0.639,41.0,63.0,104.0,52.0,37.0,11.0,34.0,102.0,251.0,0.0,
228.0,Malcolm Brogdon,32.0,WAS,PG,18.0,13.0,447.0,86.0,194.0,0.443,15.0,48.0,0.313,71.0,146.0,0.486,0.482,62.0,70.0,0.886,17.0,56.0,73.0,71.0,10.0,5.0,31.0,26.0,249.0,0.0,
229.0,Dorian Finney-Smith,31.0,2TM,PF,27.0,20.0,743.0,87.0,194.0,0.448,56.0,133.0,0.421,31.0,61.0,0.508,0.593,19.0,29.0,0.655,40.0,71.0,111.0,40.0,24.0,12.0,21.0,71.0,249.0,0.0,
229.0,Dorian Finney-Smith,31.0,BRK,PF,20.0,20.0,579.0,73.0,159.0,0.459,47.0,108.0,0.435,26.0,51.0,0.51,0.607,15.0,24.0,0.625,31.0,60.0,91.0,31.0,18.0,12.0,18.0,54.0,208.0,0.0,
229.0,Dorian Finney-Smith,31.0,LAL,PF,7.0,0.0,164.0,14.0,35.0,0.4,9.0,25.0,0.36,5.0,10.0,0.5,0.529,4.0,5.0,0.8,9.0,11.0,20.0,9.0,6.0,0.0,3.0,17.0,41.0,0.0,
230.0,Simone Fontecchio,29.0,DET,SF,37.0,0.0,670.0,82.0,199.0,0.412,43.0,122.0,0.352,39.0,77.0,0.506,0.52,38.0,48.0,0.792,27.0,82.0,109.0,32.0,12.0,6.0,33.0,48.0,245.0,0.0,
231.0,Jonathan Isaac,27.0,ORL,PF,38.0,0.0,644.0,88.0,210.0,0.419,26.0,102.0,0.255,62.0,108.0,0.574,0.481,40.0,61.0,0.656,68.0,116.0,184.0,19.0,29.0,50.0,18.0,53.0,242.0,0.0,
232.0,Brandin Podziemski,21.0,GSW,SG,30.0,8.0,725.0,93.0,230.0,0.404,31.0,105.0,0.295,62.0,125.0,0.496,0.472,22.0,30.0,0.733,31.0,104.0,135.0,96.0,29.0,7.0,30.0,46.0,239.0,0.0,
233.0,Javonte Green,31.0,NOP,SG,38.0,14.0,823.0,83.0,177.0,0.469,30.0,78.0,0.385,53.0,99.0,0.535,0.554,38.0,49.0,0.776,39.0,92.0,131.0,32.0,39.0,27.0,24.0,56.0,234.0,0.0,
234.0,Johnny Juzang,23.0,UTA,SG,32.0,5.0,571.0,79.0,189.0,0.418,54.0,135.0,0.4,25.0,54.0,0.463,0.561,22.0,25.0,0.88,19.0,69.0,88.0,33.0,12.0,5.0,16.0,62.0,234.0,0.0,
