Rank,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
109.0,Stephon Castle,20.0,SAS,PG,40.0,23.0,1007.0,10.7,0.494,0.365,0.312,3.2,7.4,5.3,21.1,1.5,1.0,13.6,23.2,-0.5,0.6,0.1,0.006,-3.3,-1.5,-4.8,-0.7,
110.0,Guerschon Yabusele,29.0,PHI,PF,39.0,18.0,1007.0,14.5,0.63,0.532,0.261,8.1,16.5,12.1,11.3,1.4,1.7,13.6,15.8,1.6,0.8,2.4,0.116,0.3,-0.6,-0.4,0.4,
111.0,Jerami Grant,30.0,POR,PF,31.0,31.0,1003.0,11.4,0.531,0.505,0.28,1.7,10.4,5.9,10.0,1.2,3.0,9.6,20.0,0.4,0.3,0.8,0.036,-1.0,-1.1,-2.1,0.0,
112.0,Alex Sarr,19.0,WAS,C,37.0,37.0,1000.0,12.8,0.491,0.43,0.209,7.2,18.6,12.9,12.3,1.1,5.2,11.1,20.5,-0.4,0.5,0.1,0.007,-2.2,-1.0,-3.1,-0.3,
113.0,CJ McCollum,33.0,NOP,PG,30.0,30.0,998.0,16.3,0.551,0.463,0.176,2.4,9.5,5.8,19.6,1.2,1.4,7.7,26.9,1.1,0.1,1.2,0.057,1.6,-2.5,-0.9,0.3,
114.0,Bobby Portis,29.0,MIL,PF,40.0,5.0,990.0,17.3,0.541,0.304,0.124,7.6,26.4,17.3,12.1,1.4,2.0,9.0,23.9,0.6,1.5,2.2,0.106,0.2,-0.5,-0.4,0.4,
115.0,Jalen Suggs,23.0,ORL,PG,34.0,34.0,987.0,14.6,0.537,0.501,0.226,2.6,14.6,8.2,21.7,2.5,3.2,16.0,27.3,-0.5,1.8,1.3,0.062,-0.4,1.3,0.8,0.7,
116.0,Lauri Markkanen,27.0,UTA,PF,31.0,31.0,984.0,18.1,0.592,0.568,0.336,6.0,14.8,10.5,9.6,1.3,0.9,7.6,24.3,2.2,0.3,2.5,0.122,3.4,-2.0,1.5,0.9,
117.0,Spencer Dinwiddie,31.0,DAL,PG,40.0,11.0,976.0,13.3,0.55,0.514,0.392,1.1,9.4,5.4,20.1,1.8,0.7,10.3,17.8,1.4,0.8,2.2,0.11,-0.6,0.0,-0.6,0.4,
118.0,Jalen Duren,21.0,DET,C,39.0,39.0,975.0,19.2,0.699,0.0,0.465,14.9,27.8,21.4,13.1,1.0,4.4,20.3,15.1,2.3,1.4,3.7,0.181,-0.1,1.1,1.0,0.7,
119.0,Haywood Highsmith,28.0,MIA,SF,39.0,32.0,973.0,10.5,0.611,0.577,0.113,4.0,10.4,7.2,6.9,2.0,2.4,12.5,11.6,0.7,1.1,1.8,0.089,-2.4,0.8,-1.6,0.1,
120.0,Anthony Black,21.0,ORL,PG,40.0,3.0,972.0,10.3,0.506,0.311,0.393,2.5,10.6,6.3,22.4,1.9,2.4,18.8,19.7,-0.6,1.4,0.8,0.041,-3.7,0.9,-2.8,-0.2,
121.0,Desmond Bane,26.0,MEM,SG,33.0,32.0,971.0,17.6,0.603,0.439,0.195,3.0,16.8,10.1,24.5,2.1,1.4,15.2,22.9,1.6,1.5,3.1,0.152,2.0,1.2,3.2,1.3,
122.0,Buddy Hield,32.0,GSW,SG,41.0,10.0,966.0,12.7,0.562,0.687,0.081,2.5,12.5,7.4,10.0,1.8,1.2,10.2,21.7,0.3,1.1,1.4,0.069,-0.4,-0.5,-0.9,0.3,
123.0,Corey Kispert,25.0,WAS,SF,36.0,0.0,963.0,10.7,0.571,0.588,0.144,2.0,9.7,5.8,9.3,0.9,0.7,9.3,17.2,0.5,-0.2,0.4,0.019,-1.6,-2.5,-4.1,-0.5,
124.0,Nickeil Alexander-Walker,26.0,MIN,SG,42.0,2.0,956.0,11.5,0.592,0.586,0.165,2.5,10.5,6.6,15.3,1.5,1.3,14.8,16.1,0.8,1.0,1.8,0.091,-1.0,0.5,-0.6,0.3,
125.0,Bradley Beal,31.0,PHO,SG,29.0,23.0,955.0,14.6,0.579,0.382,0.167,2.4,9.4,6.0,15.7,1.7,2.0,11.3,22.8,0.6,0.5,1.1,0.054,-0.5,-1.2,-1.7,0.1,
126.0,Walker Kessler,23.0,UTA,C,32.0,32.0,948.0,20.5,0.709,0.014,0.415,16.3,25.5,21.0,7.7,0.8,7.9,15.8,12.9,2.3,0.9,3.3,0.166,1.4,0.6,1.9,0.9,
127.0,Draymond Green,34.0,GSW,PF,34.0,32.0,946.0,11.9,0.53,0.527,0.27,3.8,19.3,11.3,26.3,1.8,3.8,23.8,15.7,0.1,1.4,1.5,0.077,-2.2,2.3,0.2,0.5,
128.0,Nic Claxton,25.0,BRK,C,36.0,28.0,943.0,15.6,0.553,0.043,0.318,8.3,25.6,16.6,12.2,1.8,4.5,11.5,16.6,0.7,1.1,1.8,0.094,-1.2,1.1,-0.1,0.4,
129.0,Caleb Martin,29.0,PHI,SF,31.0,24.0,943.0,10.4,0.531,0.375,0.319,5.1,12.1,8.4,10.7,1.8,2.2,14.0,14.4,0.2,0.8,0.9,0.048,-2.2,-0.2,-2.4,-0.1,
130.0,Keyonte George,21.0,UTA,PG,30.0,30.0,940.0,12.3,0.535,0.566,0.225,1.8,10.0,6.0,27.6,1.2,0.6,17.0,24.7,0.1,0.1,0.2,0.01,-0.4,-2.8,-3.2,-0.3,
131.0,Max Christie,21.0,LAL,SG,39.0,18.0,939.0,11.3,0.595,0.531,0.339,2.9,8.3,5.6,7.6,1.8,1.6,9.8,14.3,1.0,0.5,1.4,0.073,-1.8,-0.4,-2.2,-0.1,
132.0,Scoot Henderson,20.0,POR,PG,35.0,6.0,938.0,13.2,0.545,0.39,0.339,2.7,9.9,6.2,29.3,2.1,1.1,19.7,22.4,0.2,0.4,0.6,0.032,-1.3,-1.2,-2.5,-0.1,
133.0,Trey Murphy III,24.0,NOP,SF,27.0,25.0,936.0,18.1,0.601,0.542,0.277,3.1,12.7,7.7,13.5,1.7,2.0,8.2,23.6,1.9,0.3,2.2,0.115,2.6,-1.2,1.4,0.8,
134.0,Kris Dunn,30.0,LAC,PG,41.0,28.0,935.0,10.2,0.501,0.522,0.049,3.2,12.7,8.0,16.5,3.3,1.4,16.1,13.8,-0.1,1.7,1.7,0.085,-3.4,3.1,-0.3,0.4,
135.0,Clint Capela,30.0,ATL,C,41.0,41.0,934.0,17.3,0.57,0.0,0.249,14.3,28.0,21.0,7.8,1.2,4.0,10.2,16.2,1.4,1.2,2.5,0.13,-0.9,-0.5,-1.4,0.2,
136.0,Derrick Jones Jr.,27.0,LAC,SF,39.0,36.0,934.0,13.1,0.593,0.358,0.167,5.2,9.8,7.5,5.1,2.5,1.3,10.1,16.5,0.8,1.4,2.3,0.117,-1.5,1.2,-0.3,0.4,
137.0,Brandon Boston Jr.,23.0,NOP,SG,39.0,10.0,927.0,13.0,0.538,0.37,0.225,3.0,12.1,7.3,14.5,2.5,0.8,11.1,19.7,0.4,0.4,0.9,0.045,-1.9,-0.4,-2.3,-0.1,
138.0,Keldon Johnson,25.0,SAS,SF,38.0,0.0,926.0,14.5,0.551,0.375,0.262,5.6,15.9,10.8,9.2,1.3,1.0,7.0,21.1,0.9,0.8,1.6,0.085,-0.6,-1.0,-1.6,0.1,
139.0,Zaccharie Risacher,19.0,ATL,SF,39.0,37.0,926.0,9.5,0.491,0.419,0.209,5.6,10.0,7.8,6.8,1.5,2.1,10.1,20.4,-0.5,0.6,0.1,0.006,-4.0,-1.8,-5.8,-0.9,
140.0,Deandre Ayton,26.0,POR,C,31.0,31.0,925.0,16.8,0.573,0.082,0.094,10.2,26.9,18.3,7.8,1.2,3.1,12.6,19.0,0.7,0.8,1.5,0.08,-0.8,-1.2,-2.0,0.0,
