Rank,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,Giannis Antetokounmpo,30.0,MIL,PF,35.0,35.0,34.9,12.5,20.7,0.605,0.1,0.7,0.154,12.4,20.0,0.621,0.607,6.3,10.7,0.587,2.2,9.8,12.0,6.0,0.8,1.4,3.5,2.4,31.5,
2.0,Shai Gilgeous-Alexander,26.0,OKC,PG,41.0,41.0,34.1,11.1,20.9,0.532,2.0,5.7,0.35,9.1,15.2,0.6,0.58,7.2,8.0,0.9,0.8,4.5,5.3,6.1,2.1,1.1,2.7,2.1,31.5,
3.0,Nikola Jokić,29.0,DEN,C,36.0,36.0,36.6,11.4,20.4,0.561,2.1,4.4,0.471,9.4,16.1,0.585,0.611,5.2,6.4,0.806,3.4,9.8,13.2,9.9,1.8,0.6,3.1,2.1,30.1,
4.0,LaMelo Ball,23.0,CHO,PG,27.0,27.0,34.1,10.2,24.2,0.422,4.3,12.9,0.33,6.0,11.3,0.526,0.51,4.8,5.7,0.838,1.0,4.3,5.3,7.5,1.4,0.3,3.9,3.6,29.5,
5.0,Luka Dončić,25.0,DAL,PG,22.0,22.0,35.7,9.8,21.2,0.464,3.4,9.6,0.354,6.4,11.5,0.555,0.544,5.1,6.6,0.767,0.7,7.6,8.3,7.8,2.0,0.4,3.4,2.6,28.1,
6.0,Jayson Tatum,26.0,BOS,PF,39.0,39.0,36.5,9.3,20.2,0.459,3.7,10.3,0.358,5.6,9.9,0.563,0.55,5.5,6.9,0.799,0.6,8.6,9.3,5.4,1.3,0.5,2.8,2.4,27.7,
7.0,Kevin Durant,36.0,PHO,PF,31.0,31.0,36.2,9.9,18.9,0.521,2.1,5.7,0.373,7.7,13.2,0.585,0.578,5.5,6.7,0.822,0.5,6.0,6.4,4.2,0.8,1.4,3.2,1.7,27.4,
8.0,Tyrese Maxey,24.0,PHI,PG,34.0,34.0,37.8,9.1,21.4,0.424,3.2,9.6,0.334,5.9,11.8,0.498,0.499,5.0,5.9,0.854,0.3,3.2,3.5,5.8,2.0,0.4,2.4,2.3,26.4,
9.0,Anthony Edwards,23.0,MIN,SG,42.0,42.0,36.7,9.0,20.3,0.444,4.3,9.9,0.429,4.7,10.4,0.457,0.549,3.9,4.6,0.845,0.7,5.1,5.8,4.3,1.2,0.5,3.3,1.9,26.1,
10.0,Jalen Brunson,28.0,NYK,PG,42.0,42.0,35.2,8.9,18.4,0.484,2.3,6.0,0.389,6.6,12.4,0.53,0.547,5.8,7.0,0.828,0.5,2.5,3.0,7.4,0.9,0.0,2.4,2.2,26.0,
11.0,De'Aaron Fox,27.0,SAC,PG,39.0,39.0,37.2,9.6,19.9,0.479,2.0,6.3,0.321,7.5,13.6,0.553,0.53,4.7,5.8,0.815,1.1,4.1,5.2,6.3,1.6,0.4,3.2,2.7,25.9,
12.0,Devin Booker,28.0,PHO,SG,36.0,36.0,36.9,8.3,18.8,0.441,2.7,7.9,0.346,5.6,11.0,0.509,0.513,6.4,7.2,0.896,1.1,2.9,4.0,6.7,1.2,0.3,2.4,2.2,25.8,
13.0,Anthony Davis,31.0,LAL,C,37.0,37.0,35.0,9.3,17.9,0.52,0.7,2.3,0.318,8.6,15.6,0.549,0.54,6.2,7.9,0.784,2.7,9.1,11.8,3.5,1.3,2.2,2.3,1.9,25.6,
14.0,Karl-Anthony Towns,29.0,NYK,C,38.0,38.0,34.7,9.1,16.4,0.55,2.2,4.9,0.449,6.9,11.6,0.593,0.617,5.1,6.1,0.836,3.0,10.9,13.9,3.3,1.0,0.8,2.6,3.6,25.4,
