Rank_x,Player,Age_x,Team,Pos_x,G_x,GS_x,MP_per_game,FG_per_game,FGA_per_game,FG%_per_game,3P_per_game,3PA_per_game,3P%_per_game,2P_per_game,2PA_per_game,2P%_per_game,eFG%_per_game,FT_per_game,FTA_per_game,FT%_per_game,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,PF_per_game,PTS_per_game,Awards_per_game,Season,Rank_y,Age_y,Pos_y,G_y,GS_y,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,Awards_advanced,Rank,Age,Pos,G,GS,MP_totals,FG_totals,FGA_totals,FG%_totals,3P_totals,3PA_totals,3P%_totals,2P_totals,2PA_totals,2P%_totals,eFG%_totals,FT_totals,FTA_totals,FT%_totals,ORB_totals,DRB_totals,TRB_totals,AST_totals,STL_totals,BLK_totals,TOV_totals,PF_totals,PTS_totals,Trp-Dbl_totals,Awards_totals,Tm,Record,Seed,win_pct
76.0,Coby White,24.0,CHI,SG,51.0,50.0,32.6,6.1,14.2,0.428,3.0,8.0,0.368,3.1,6.1,0.506,0.533,2.9,3.3,0.898,0.3,3.0,3.3,4.7,0.9,0.2,2.4,2.2,18.0,,2024-25,57.0,24.0,SG,51.0,50.0,1663.0,13.7,0.578,0.568,0.231,1.1,9.5,5.3,20.6,1.3,0.6,13.1,23.0,1.3,0.7,2.0,0.057,-0.5,-1.7,-2.2,-0.1,,54.0,24.0,SG,51.0,50.0,1663.0,309.0,722.0,0.428,151.0,410.0,0.368,158.0,312.0,0.506,0.533,150.0,167.0,0.898,17.0,153.0,170.0,238.0,48.0,11.0,120.0,110.0,919.0,0.0,,Chicago Bulls,23-35,23.0,0.39655172413793105
77.0,Bradley Beal,31.0,PHO,SG,40.0,25.0,32.8,6.8,13.5,0.506,2.0,5.0,0.399,4.9,8.5,0.569,0.58,2.3,2.8,0.813,0.8,2.9,3.6,3.5,1.1,0.6,2.0,2.7,17.9,,2024-25,141.0,31.0,SG,40.0,25.0,1310.0,15.7,0.609,0.367,0.208,2.6,9.2,6.0,16.6,1.6,1.6,12.0,22.5,1.5,0.6,2.1,0.075,0.2,-1.1,-1.0,0.3,,95.0,31.0,SG,40.0,25.0,1310.0,273.0,539.0,0.506,79.0,198.0,0.399,194.0,341.0,0.569,0.58,91.0,112.0,0.813,30.0,114.0,144.0,138.0,43.0,23.0,80.0,107.0,716.0,0.0,,Phoenix Suns,27-30,18.0,0.47368421052631576
78.0,Malik Monk,26.0,SAC,SG,49.0,36.0,32.6,6.6,15.0,0.439,2.2,6.9,0.322,4.3,8.1,0.539,0.514,2.5,2.8,0.878,0.4,3.3,3.8,5.9,1.0,0.7,2.3,2.7,17.9,,2024-25,65.0,26.0,SG,49.0,36.0,1595.0,15.5,0.551,0.461,0.19,1.5,11.3,6.4,26.3,1.5,2.0,12.5,24.2,1.6,1.2,2.8,0.083,0.6,-0.8,-0.1,0.8,,60.0,26.0,SG,49.0,36.0,1595.0,322.0,733.0,0.439,109.0,338.0,0.322,213.0,395.0,0.539,0.514,122.0,139.0,0.878,21.0,163.0,184.0,289.0,50.0,33.0,113.0,132.0,875.0,0.0,,Sacramento Kings,29-28,16.0,0.5087719298245614
83.0,Andrew Wiggins,29.0,GSW,SF,43.0,43.0,30.1,6.1,13.7,0.444,2.2,5.8,0.379,3.9,7.9,0.491,0.524,3.2,4.2,0.777,1.5,3.0,4.6,2.3,0.9,0.8,1.3,1.6,17.6,,2024-25,92.0,29.0,SF,43.0,43.0,1296.0,16.5,0.566,0.422,0.304,5.2,11.2,8.1,12.0,1.5,2.4,7.7,23.4,1.8,1.3,3.2,0.117,1.5,-0.6,1.0,1.0,,67.0,29.0,SF,43.0,43.0,1296.0,261.0,588.0,0.444,94.0,248.0,0.379,167.0,340.0,0.491,0.524,139.0,179.0,0.777,66.0,131.0,197.0,101.0,40.0,33.0,56.0,70.0,755.0,0.0,,Golden State Warriors,30-27,15.0,0.5263157894736842
86.0,Mikal Bridges,28.0,NYK,SF,57.0,57.0,37.9,7.2,14.8,0.489,2.3,6.3,0.357,4.9,8.4,0.588,0.565,0.8,1.1,0.742,0.9,2.2,3.2,3.3,1.0,0.5,1.5,1.5,17.5,,2024-25,1.0,28.0,SF,57.0,57.0,2162.0,13.3,0.574,0.429,0.074,2.8,6.7,4.8,12.1,1.3,1.3,9.1,19.1,2.3,1.0,3.3,0.073,0.2,-1.4,-1.1,0.5,,45.0,28.0,SF,57.0,57.0,2162.0,411.0,841.0,0.489,129.0,361.0,0.357,282.0,480.0,0.588,0.565,46.0,62.0,0.742,52.0,128.0,180.0,188.0,55.0,31.0,87.0,83.0,997.0,0.0,,New York Knicks,37-20,5.0,0.6491228070175439
87.0,Dejounte Murray,28.0,NOP,PG,31.0,31.0,32.6,6.3,15.9,0.393,1.7,5.6,0.299,4.6,10.3,0.444,0.445,3.3,4.0,0.823,0.5,5.9,6.5,7.4,2.0,0.4,3.4,2.0,17.5,,2024-25,225.0,28.0,PG,31.0,31.0,1012.0,15.6,0.494,0.352,0.251,1.7,20.1,10.6,34.9,3.0,1.1,16.2,27.2,-0.6,0.9,0.3,0.013,-1.1,-0.3,-1.5,0.1,,166.0,28.0,PG,31.0,31.0,1012.0,194.0,494.0,0.393,52.0,174.0,0.299,142.0,320.0,0.444,0.445,102.0,124.0,0.823,17.0,183.0,200.0,228.0,63.0,12.0,106.0,61.0,542.0,1.0,,New Orleans Pelicans,14-43,28.0,0.24561403508771928
89.0,Bam Adebayo,27.0,MIA,C,54.0,54.0,34.1,6.5,13.7,0.476,0.8,2.6,0.302,5.8,11.2,0.516,0.504,3.0,4.1,0.738,2.6,7.4,10.0,4.3,1.2,0.7,2.2,2.2,16.9,,2024-25,26.0,27.0,C,54.0,54.0,1844.0,17.8,0.543,0.187,0.298,8.3,23.2,15.9,20.4,1.8,2.1,12.3,22.9,1.7,2.7,4.4,0.116,0.1,0.8,1.0,1.4,,55.0,27.0,C,54.0,54.0,1844.0,353.0,742.0,0.476,42.0,139.0,0.302,311.0,603.0,0.516,0.504,163.0,221.0,0.738,140.0,399.0,539.0,232.0,66.0,40.0,118.0,119.0,911.0,1.0,,Miami Heat,26-30,20.0,0.4642857142857143
90.0,Keyonte George,21.0,UTA,PG,47.0,32.0,31.6,5.5,13.7,0.399,2.7,7.7,0.345,2.8,6.0,0.468,0.496,3.3,4.1,0.799,0.4,3.3,3.7,5.9,0.7,0.2,2.9,1.8,16.9,,2024-25,89.0,21.0,PG,47.0,32.0,1483.0,13.5,0.544,0.562,0.301,1.4,11.4,6.5,28.5,1.1,0.5,15.5,24.4,1.0,0.2,1.2,0.038,0.4,-2.4,-2.0,0.0,,77.0,21.0,PG,47.0,32.0,1483.0,257.0,644.0,0.399,125.0,362.0,0.345,132.0,282.0,0.468,0.496,155.0,194.0,0.799,19.0,157.0,176.0,279.0,34.0,8.0,134.0,83.0,794.0,0.0,,Utah Jazz,14-43,29.0,0.24561403508771928
96.0,Paul George,34.0,PHI,PF,38.0,38.0,32.2,6.0,13.8,0.432,2.3,6.5,0.355,3.7,7.3,0.5,0.515,1.9,2.4,0.813,0.6,4.6,5.2,4.2,1.8,0.5,2.5,2.4,16.2,,2024-25,158.0,34.0,PF,38.0,38.0,1223.0,14.9,0.544,0.471,0.173,1.9,17.3,9.2,21.1,2.8,1.6,14.2,23.8,0.0,1.2,1.2,0.047,-0.4,0.1,-0.3,0.5,,125.0,34.0,PF,38.0,38.0,1223.0,227.0,526.0,0.432,88.0,248.0,0.355,139.0,278.0,0.5,0.515,74.0,91.0,0.813,21.0,175.0,196.0,161.0,68.0,19.0,94.0,93.0,616.0,0.0,,Philadelphia 76ers,20-37,25.0,0.3508771929824561
98.0,Derrick White,30.0,BOS,SG,54.0,54.0,33.6,5.5,12.4,0.445,3.4,8.7,0.384,2.2,3.7,0.591,0.581,1.8,2.1,0.842,0.9,3.5,4.4,4.3,0.8,1.1,1.6,1.8,16.2,,2024-25,33.0,30.0,SG,54.0,54.0,1812.0,16.2,0.607,0.704,0.17,3.0,11.3,7.1,18.4,1.2,2.9,10.9,19.4,3.5,2.3,5.8,0.154,2.5,0.6,3.1,2.3,,61.0,30.0,SG,54.0,54.0,1812.0,298.0,669.0,0.445,181.0,471.0,0.384,117.0,198.0,0.591,0.581,96.0,114.0,0.842,50.0,189.0,239.0,232.0,45.0,58.0,88.0,98.0,873.0,0.0,,Boston Celtics,41-16,3.0,0.7192982456140351
104.0,Ivica Zubac,27.0,LAC,C,55.0,55.0,32.0,6.8,11.1,0.612,0.0,0.0,,6.8,11.1,0.612,0.612,1.8,2.8,0.641,3.8,8.8,12.6,2.5,0.8,1.2,1.7,2.0,15.4,,2024-25,40.0,27.0,C,55.0,55.0,1761.0,21.4,0.624,0.0,0.256,13.3,30.5,21.9,12.4,1.2,3.7,12.1,18.9,3.9,3.3,7.2,0.196,1.6,0.8,2.4,2.0,,69.0,27.0,C,55.0,55.0,1761.0,373.0,609.0,0.612,0.0,0.0,,373.0,609.0,0.612,0.612,100.0,156.0,0.641,209.0,483.0,692.0,138.0,45.0,65.0,93.0,109.0,846.0,0.0,,Los Angeles Clippers,31-26,12.0,0.543859649122807
108.0,Devin Vassell,24.0,SAS,SG,40.0,29.0,30.2,5.8,13.6,0.428,2.2,6.3,0.344,3.7,7.4,0.498,0.506,1.5,2.0,0.772,0.6,2.8,3.4,2.8,1.2,0.5,1.4,1.6,15.3,,2024-25,165.0,24.0,SG,40.0,29.0,1209.0,12.7,0.529,0.459,0.145,2.0,9.8,5.9,13.8,1.9,1.4,9.0,22.5,0.0,0.9,0.9,0.034,-1.5,-0.9,-2.4,-0.1,,126.0,24.0,SG,40.0,29.0,1209.0,233.0,545.0,0.428,86.0,250.0,0.344,147.0,295.0,0.498,0.506,61.0,79.0,0.772,23.0,113.0,136.0,110.0,48.0,19.0,57.0,62.0,613.0,0.0,,San Antonio Spurs,24-31,21.0,0.43636363636363634
