player_id,Player,Team,Season,Predicted MVP Votes Share,headshot_path
gilgesh01,Shai Gilgeous-Alexander,Oklahoma City Thunder,2025-26,0.618,../data/headshots/headshot/gilgesh01.jpg
jokicni01,Nikola Jokić,Denver Nuggets,2025-26,0.503,../data/headshots/headshot/jokicni01.jpg
doncilu01,Luka Dončić,Los Angeles Lakers,2025-26,0.258,../data/headshots/headshot/doncilu01.jpg
leonaka01,Kawhi Leonard,Los Angeles Clippers,2025-26,0.237,../data/headshots/headshot/leonaka01.jpg
mitchdo01,Donovan Mitchell,Cleveland Cavaliers,2025-26,0.082,../data/headshots/headshot/mitchdo01.jpg
