player_id,Player,Team,Season,Predicted MVP Votes Share,headshot_path
gilgesh01,Shai Gilgeous-Alexander,Oklahoma City Thunder,2025-26,0.76,../data/headshots/headshot/gilgesh01.jpg
jokicni01,Nikola Jokić,Denver Nuggets,2025-26,0.678,../data/headshots/headshot/jokicni01.jpg
doncilu01,Luka Dončić,Los Angeles Lakers,2025-26,0.51,../data/headshots/headshot/doncilu01.jpg
wembavi01,Victor Wembanyama,San Antonio Spurs,2025-26,0.386,../data/headshots/headshot/wembavi01.jpg
leonaka01,Kawhi Leonard,Los Angeles Clippers,2025-26,0.271,../data/headshots/headshot/leonaka01.jpg
