player_id,Player,Team,Season,Predicted MVP Votes Share,headshot_path
gilgesh01,Shai Gilgeous-Alexander,OKC,2024-25,0.705,../data/headshots/headshot/gilgesh01.jpg
jokicni01,Nikola Jokić,DEN,2024-25,0.699,../data/headshots/headshot/jokicni01.jpg
antetgi01,Giannis Antetokounmpo,MIL,2024-25,0.268,../data/headshots/headshot/antetgi01.jpg
jamesle01,LeBron James,LAL,2024-25,0.062,../data/headshots/headshot/jamesle01.jpg
curryst01,Stephen Curry,GSW,2024-25,0.056,../data/headshots/headshot/curryst01.jpg
