player_id,Player,Team,Season,Predicted MVP Votes Share,headshot_path
gilgesh01,Shai Gilgeous-Alexander,OKC,2024-25,0.847,../data/headshots/headshot/gilgesh01.jpg
jokicni01,Nikola Jokić,DEN,2024-25,0.718,../data/headshots/headshot/jokicni01.jpg
antetgi01,Giannis Antetokounmpo,MIL,2024-25,0.397,../data/headshots/headshot/antetgi01.jpg
edwaran01,Anthony Edwards,MIN,2024-25,0.117,../data/headshots/headshot/edwaran01.jpg
tatumja01,Jayson Tatum,BOS,2024-25,0.082,../data/headshots/headshot/tatumja01.jpg
