Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
71,Andrew Nembhard,26,IND,PG,32,32,31.7,6.1,13.8,0.441,1.8,5,0.365,4.3,8.8,0.484,0.507,3.4,4.2,0.815,0.4,2.3,2.6,7.1,1,0.2,2.2,2.3,17.4,,nembhan01
72,Stephon Castle,21,SAS,PG,31,31,30.9,5.8,12.7,0.461,1.1,3.9,0.273,4.8,8.8,0.544,0.503,4.5,6.2,0.725,1.1,4,5.1,6.8,1.3,0.3,3.8,3.5,17.3,,castlst01
73,Domantas Sabonis,29,SAC,C,11,11,33.2,6.7,13.2,0.51,0.4,1.8,0.2,6.4,11.4,0.56,0.524,3.4,4.6,0.725,3.4,8.9,12.3,3.7,1.2,0.2,2.5,4,17.2,,sabondo01
74,Kristaps Porziņģis,30,ATL,C,17,12,24.3,5.6,12.4,0.457,1.8,5.1,0.36,3.8,7.3,0.524,0.531,4,4.8,0.84,1.2,3.9,5.1,2.7,0.5,1.3,0.9,3.2,17.1,,porzikr01
75,Payton Pritchard,28,BOS,PG,39,39,32.9,6.4,14.2,0.448,2.5,7.5,0.338,3.8,6.7,0.573,0.538,1.7,2,0.87,1,3.5,4.5,5.3,0.9,0.1,1.1,1.5,17,,pritcpa01
76,Alex Sarr,20,WAS,C,30,30,27.7,6.8,13.7,0.498,1,2.9,0.345,5.8,10.8,0.539,0.534,2.3,3.2,0.708,2.2,5.4,7.6,2.8,0.8,2.3,1.8,2,16.9,,sarral01
77,Nikola Vučević,35,CHI,C,39,39,30.7,6.9,13.8,0.503,1.8,4.7,0.378,5.2,9.1,0.568,0.568,1.2,1.5,0.797,2.2,7,9.2,3.7,0.7,0.6,1.5,2,16.9,,vucevni01
78,Bam Adebayo,28,MIA,C,32,32,30.8,6.2,13.6,0.456,1.3,3.9,0.333,4.9,9.6,0.506,0.505,3.1,4.1,0.758,1.7,8,9.7,2.7,1,0.8,1.8,1.8,16.8,,adebaba01
79,Immanuel Quickley,26,TOR,PG,40,40,32.5,5.7,13.5,0.423,2.5,7.2,0.347,3.2,6.3,0.51,0.516,2.6,3.2,0.791,0.6,3.6,4.2,6.1,1.2,0.1,1.7,2,16.5,,quickim01
80,Ryan Rollins,23,MIL,PG,40,35,31.8,6.3,13.5,0.465,2.3,5.8,0.398,4,7.7,0.515,0.55,1.6,2.1,0.774,0.8,3.7,4.5,5.5,1.5,0.4,2.3,2.8,16.5,,rolliry01
81,Mikal Bridges,29,NYK,SF,40,40,34.9,6.4,12.8,0.5,2.3,5.8,0.394,4.1,7,0.587,0.589,0.9,1.2,0.787,1.2,3.4,4.7,4.3,1.6,0.9,1,1.9,16,,bridgmi01
82,Paul George,35,PHI,PF,22,22,29.8,5.4,13,0.415,2.4,6.4,0.371,3,6.7,0.456,0.505,2.8,3.2,0.859,0.6,4.7,5.3,3.6,1.3,0.5,1.8,2.2,16,,georgpa01
83,Onyeka Okongwu,25,ATL,C,40,29,31.9,6,12.5,0.482,1.9,5.2,0.362,4.2,7.3,0.567,0.557,2.1,2.8,0.764,1.9,6,7.9,3.4,1.1,1,1.8,3.5,16,,okongon01
84,VJ Edgecombe,20,PHI,SG,35,35,35.8,5.9,13.9,0.425,2.3,6,0.376,3.6,7.9,0.462,0.506,1.8,2.3,0.79,1.7,3.6,5.3,4.3,1.6,0.5,1.7,3.2,15.9,,edgecvj01
85,Jaime Jaquez Jr.,24,MIA,SF,37,1,28.8,6.4,12.1,0.53,0.4,1.7,0.258,6,10.5,0.574,0.548,2.6,3.4,0.748,1.2,3.9,5.1,4.6,0.8,0.2,2.2,2,15.9,,jaqueja01
86,Andrew Wiggins,30,MIA,SF,36,36,31.7,6.1,13.1,0.467,1.9,4.7,0.399,4.3,8.4,0.505,0.538,1.7,2.2,0.763,1.8,3,4.8,2.8,1.2,1.1,1.8,2.5,15.8,,wiggian01
87,Grayson Allen,30,PHO,SG,23,18,29.5,5.3,12.6,0.421,3.2,8.3,0.382,2.1,4.3,0.495,0.547,1.9,2.3,0.827,0.6,2.3,2.9,3.7,1.7,0.3,1.8,2.3,15.7,,allengr01
88,Anthony Black,22,ORL,PG,40,20,30.3,5.7,12.2,0.465,1.6,4.4,0.35,4.1,7.8,0.531,0.529,2.8,3.9,0.723,0.8,3.3,4.1,3.9,1.3,0.7,2.4,2.8,15.7,,blackan01
89,Jrue Holiday,35,POR,PG,14,12,31.3,5.7,13.2,0.432,2.5,6.9,0.361,3.2,6.3,0.511,0.527,1.8,2.1,0.833,1.4,3.9,5.2,7.6,1.4,0.2,2.8,1.9,15.7,,holidjr01
90,OG Anunoby,28,NYK,PF,30,30,32.5,5.3,11.7,0.456,2,5.7,0.351,3.3,6,0.556,0.541,2.9,3.6,0.806,1.4,4.1,5.5,2.2,1.7,0.7,2,2.6,15.6,,anunoog01
91,Jalen Green,23,PHO,SG,2,2,15,5.5,11.5,0.478,3,7,0.429,2.5,4.5,0.556,0.609,1.5,2.5,0.6,1,1,2,2,1,0,1,1,15.5,,greenja05
92,Jordan Poole,26,NOP,PG,24,6,26.2,4.6,12.3,0.373,2.7,7.8,0.34,1.9,4.5,0.43,0.481,3.4,3.8,0.9,0.3,1.4,1.6,3.3,0.7,0.4,2,2.5,15.2,,poolejo01
93,Collin Sexton,27,CHO,SG,31,12,23.9,5.1,10.5,0.485,1.3,3.4,0.39,3.7,7.1,0.53,0.548,3.7,4.3,0.871,0.5,1.6,2.1,4.1,0.8,0.2,2.3,1.9,15.2,,sextoco01
94,Saddiq Bey,26,NOP,SF,36,28,29.8,5.3,12.1,0.441,1.6,5.1,0.317,3.7,7,0.532,0.508,2.8,3.4,0.806,1.7,4.1,5.8,2.3,0.9,0.1,0.6,1.1,15.1,,beysa01
95,Jabari Smith Jr.,22,HOU,PF,36,36,34.6,5.5,12.6,0.433,2.1,6.3,0.342,3.3,6.4,0.522,0.518,2,2.6,0.758,1.5,5.4,6.9,1.8,0.8,0.8,1.3,2.8,15.1,,smithja05
96,Jalen Suggs,24,ORL,PG,23,23,25.4,5.3,11.2,0.471,1.9,5.8,0.331,3.3,5.4,0.621,0.556,2.6,3,0.857,0.7,2.9,3.7,4.7,1.9,0.5,2.7,3,15,,suggsja01
97,Devin Vassell,25,SAS,SG,32,32,31.9,5.3,12.4,0.422,2.7,7,0.379,2.6,5.4,0.477,0.529,1.8,2.1,0.868,0.5,3.6,4,2.4,0.9,0.5,0.9,2,15,,vassede01
98,Kyshawn George,22,WAS,SF,30,30,31.4,5.5,11.8,0.465,2.2,5.5,0.4,3.3,6.3,0.521,0.558,1.8,2.4,0.74,0.9,4.6,5.5,4.9,1,0.9,3.1,4.1,14.9,,georgky01
99,Matas Buzelis,21,CHI,PF,40,40,27.7,5.4,11.1,0.484,1.8,5.1,0.345,3.6,6,0.602,0.563,2.3,3,0.771,1.1,4.1,5.2,1.7,0.7,1.4,1.7,2.6,14.8,,buzelma01
100,Jaden McDaniels,25,MIN,PF,39,39,31.8,5.7,10.9,0.521,1.4,3.3,0.419,4.3,7.6,0.566,0.585,2.1,2.5,0.833,1.1,3.3,4.4,2.7,1.1,0.9,1.7,3.4,14.8,,mcdanja02
101,Russell Westbrook,37,SAC,SF,41,35,29.5,5.4,12.8,0.425,1.9,5.6,0.345,3.5,7.2,0.486,0.5,2,3,0.678,1.5,4.9,6.5,7,1.3,0.2,3.4,2.5,14.8,,westbru01
102,Ivica Zubac,28,LAC,C,34,33,31.3,6.3,10.4,0.606,0,0,,6.3,10.4,0.606,0.606,2.2,3,0.725,3.5,7.2,10.7,2.4,0.4,1,1.9,2.5,14.8,,zubaciv01
103,Keegan Murray,25,SAC,PF,19,18,35.9,5.8,13.6,0.429,1.3,4.8,0.272,4.5,8.8,0.515,0.477,1.6,2,0.789,1.6,4.5,6.1,1.5,1.2,1.6,1.2,1.9,14.6,,murrake02
104,Naz Reid,26,MIN,C,41,1,26.5,5.5,11.7,0.469,2.4,6.3,0.381,3.1,5.4,0.573,0.572,1.2,1.6,0.781,1.2,5,6.2,2.4,0.9,0.9,1.6,2.5,14.6,,reidna01
105,P.J. Washington,27,DAL,PF,31,31,31.4,5.5,12.1,0.455,1.3,4.2,0.31,4.2,7.9,0.531,0.508,2.4,3.5,0.685,1.4,6,7.4,1.9,1,1.4,2.2,2.3,14.6,,washipj01
106,Walker Kessler,24,UTA,C,5,5,30.8,5.2,7.4,0.703,1.2,1.6,0.75,4,5.8,0.69,0.784,2.8,4,0.7,4.6,6.2,10.8,3,1.4,1.8,3.2,4.4,14.4,,kesslwa01
