Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
164,Zaccharie Risacher,20,ATL,SF,36,36,24.6,4.3,9.4,0.462,1.6,4.4,0.358,2.8,5,0.553,0.546,0.9,1.5,0.642,0.9,2.4,3.3,1.4,0.9,0.5,0.9,2.2,11.2,,risacza01
165,Ausar Thompson,23,DET,SF,34,33,26.4,4.6,9,0.51,0.1,0.5,0.278,4.4,8.5,0.524,0.518,1.9,3.4,0.556,2,3.8,5.8,2.6,1.6,0.9,1.6,2.8,11.2,,thompau01
166,Jock Landale,30,MEM,C,37,19,22.6,4.3,8.4,0.518,1.1,2.9,0.393,3.2,5.5,0.584,0.586,1.4,2,0.667,2.9,3.4,6.3,1.7,0.5,0.5,1,2.4,11.1,,landajo01
167,Rudy Gobert,33,MIN,C,40,40,31.7,4.6,6.4,0.717,0,0,0,4.6,6.3,0.719,0.717,1.9,3.6,0.528,3.9,7.5,11.4,1.8,0.6,1.7,1.4,2.8,11,,goberru01
168,Brice Sensabaugh,22,UTA,SF,39,9,20.5,3.8,8.7,0.444,1.6,4.9,0.332,2.2,3.8,0.588,0.537,1.7,1.9,0.878,0.8,2.1,2.9,1.5,0.7,0.1,1.3,1.8,11,,sensabr01
169,Donovan Clingan,21,POR,C,37,37,27.1,4.2,7.9,0.54,0.9,2.8,0.327,3.3,5.1,0.658,0.598,1.5,2.3,0.663,4.4,6.3,10.7,1.9,0.5,1.4,1,2.5,10.9,,clingdo01
170,Caleb Love,24,POR,SG,33,1,21.5,3.9,10.2,0.387,2.1,6.3,0.329,1.9,3.9,0.481,0.488,0.9,1.2,0.732,0.5,2.2,2.7,2.4,0.5,0.1,1.1,1.3,10.8,,loveca01
171,Egor Dёmin,19,BRK,PG,34,27,24.9,3.6,8.9,0.406,2.5,6.2,0.398,1.1,2.7,0.424,0.545,0.9,1,0.829,0.5,2.7,3.2,3.5,0.9,0.3,1.8,1.8,10.6,,demineg01
172,De'Anthony Melton,27,GSW,PG,16,0,20.6,3.8,8.9,0.423,1.4,4.4,0.31,2.4,4.4,0.535,0.5,1.7,2.1,0.794,0.6,1.9,2.5,1.8,1.4,0.5,1.3,2.4,10.6,,meltode01
173,Dylan Harper,19,SAS,SG,30,0,21.3,4.1,9.6,0.426,0.7,2.5,0.263,3.4,7.1,0.484,0.46,1.6,2.2,0.738,0.8,2.4,3.2,3.5,1,0.2,1.5,2,10.5,,harpedy01
174,Royce O'Neale,32,PHO,SF,40,35,29.5,3.7,8.5,0.431,2.9,7,0.419,0.7,1.5,0.483,0.603,0.3,0.4,0.667,0.7,4.4,5.1,2.8,1.3,0.3,1.5,2.3,10.5,,onealro01
175,Maxime Raynaud,22,SAC,C,33,19,23.6,4.5,7.9,0.563,0.2,0.8,0.308,4.2,7.1,0.591,0.579,1.3,1.8,0.729,1.8,4.5,6.4,1.1,0.4,0.5,1,2.7,10.5,,raynama01
176,Derrick Jones Jr.,28,LAC,SF,17,13,24.2,3.8,6.9,0.556,1.3,3.2,0.4,2.5,3.6,0.694,0.65,1.4,1.8,0.774,0.9,1.8,2.6,1.2,0.8,1.1,0.8,2.1,10.4,,jonesde02
177,Jusuf Nurkić,31,UTA,C,32,27,25.9,4.2,8.2,0.506,0.6,1.6,0.36,3.6,6.7,0.54,0.54,1.6,2.8,0.556,2.8,7.3,10,4.3,1.4,0.4,2.4,3.2,10.4,,nurkiju01
178,Isaiah Stewart,24,DET,C,34,11,23.7,4.1,7.5,0.539,0.9,2.4,0.373,3.1,5.1,0.618,0.6,1.4,2,0.706,1.9,3.7,5.6,1.1,0.3,2.1,1.2,3.1,10.4,,stewais01
179,A.J. Green,26,MIL,SG,37,37,29.5,3.4,7.6,0.44,3,6.9,0.431,0.4,0.7,0.519,0.635,0.6,0.8,0.793,0.2,2.4,2.6,2.1,0.6,0.1,0.9,2.5,10.3,,greenaj01
180,Sandro Mamukelashvili,26,TOR,C,40,8,21.4,3.9,7.6,0.513,1.2,3.3,0.364,2.7,4.3,0.628,0.592,1.3,1.7,0.773,1.5,3.4,4.9,1.9,0.7,0.6,0.8,1.9,10.3,,mamuksa01
181,Moses Moody,23,GSW,SG,39,28,24.3,3.5,8.5,0.408,2.1,5.6,0.369,1.4,2.9,0.482,0.529,1.3,1.6,0.813,0.8,2.3,3.1,1.5,0.9,0.6,0.9,2,10.3,,moodymo01
182,Aaron Wiggins,27,OKC,SG,28,9,22.9,3.9,8.7,0.447,1.8,4.6,0.385,2.1,4.1,0.518,0.549,0.7,1,0.704,0.6,2.5,3.1,1.8,0.7,0.7,1.1,1.5,10.3,,wiggiaa01
183,D'Angelo Russell,29,DAL,PG,26,3,19,3.6,8.9,0.405,1.3,4.3,0.295,2.3,4.6,0.508,0.476,1.7,2.3,0.717,0.3,2,2.3,4,0.5,0.1,1.9,1.2,10.2,,russeda01
184,Bilal Coulibaly,21,WAS,SG,25,25,26.6,3.3,8.4,0.392,1,3.5,0.273,2.3,4.8,0.479,0.45,2.6,3.4,0.765,0.9,3.8,4.7,2.5,1.4,0.9,1.6,2.9,10.1,,coulibi01
185,Vit Krejci,25,ATL,PG,38,5,24,3.4,7.3,0.473,2.5,5.7,0.436,0.9,1.6,0.61,0.644,0.7,0.9,0.758,0.5,1.8,2.3,1.6,0.9,0.3,0.8,2.5,10.1,,krejcvi01
186,Neemias Queta,26,BOS,C,37,37,24.8,4.4,6.8,0.656,0,0.1,0,4.4,6.6,0.667,0.656,1.3,2.1,0.603,3.1,5.1,8.2,1.4,0.8,1.2,0.9,2.7,10.1,,quetane01
187,Marvin Bagley III,26,WAS,PF,33,7,19.4,4.1,6.5,0.628,0.2,0.5,0.412,3.9,6,0.646,0.644,1.6,2.2,0.73,2.5,3.2,5.6,1.5,0.5,0.7,1.2,2.1,10,,baglema01
188,Jordan Clarkson,33,NYK,SG,40,0,20.1,3.7,8.5,0.437,1.4,4.2,0.343,2.3,4.4,0.526,0.521,1.1,1.4,0.796,0.8,1.1,1.8,1.4,0.5,0.2,1.1,2,10,,clarkjo01
189,T.J. McConnell,33,IND,PG,29,0,17.4,4.6,8.5,0.538,0.4,1.1,0.344,4.2,7.4,0.567,0.561,0.4,0.4,0.923,0.4,1.9,2.3,4.9,1.2,0.2,1.2,1.1,10,,mccontj01
190,Ace Bailey,19,UTA,SF,33,22,23.4,3.9,9,0.438,1.4,4,0.341,2.6,5,0.515,0.513,0.7,1,0.688,1.4,1.8,3.2,1.5,0.7,0.4,1.1,2.3,9.9,,baileac01
191,Tristan Da Silva,24,ORL,SF,35,13,23.2,3.7,8.1,0.451,1.6,4.1,0.396,2,4,0.507,0.551,0.9,1,0.833,0.8,2.8,3.6,1.2,0.8,0.2,0.9,1.4,9.8,,dasiltr01
192,Jake LaRavia,24,LAL,PF,38,17,27.3,3.6,7.6,0.467,1.2,3.6,0.341,2.3,4.1,0.578,0.547,1.4,2,0.733,1.6,2.7,4.3,2,1.3,0.4,1.1,2.3,9.8,,laravja01
193,Zach Collins,28,CHI,C,10,0,18.4,3.7,6.4,0.578,0.9,2.1,0.429,2.8,4.3,0.651,0.648,1.4,2,0.7,1.6,4,5.6,1.5,0.2,0.4,1,1.8,9.7,,colliza01
194,Isaiah Joe,26,OKC,SG,32,0,19.6,2.9,6.7,0.437,2.2,5.5,0.406,0.7,1.3,0.575,0.602,1.6,1.8,0.877,0.5,2.1,2.5,1.3,0.5,0.2,0.6,1.6,9.7,,joeis01
195,Jakob Poeltl,30,TOR,C,21,21,25.3,4.2,6,0.693,0,0,,4.2,6,0.693,0.693,1.3,2.2,0.596,2.7,5,7.7,2.1,0.8,0.5,1.6,3.1,9.7,,poeltja01
196,Khris Middleton,34,WAS,SF,27,27,24.1,3.6,8.3,0.433,0.8,2.7,0.301,2.8,5.6,0.497,0.482,1.6,1.9,0.808,0.9,3,3.9,3.3,0.8,0.3,1.6,2.8,9.6,,middlkh01
197,Christian Braun,24,DEN,SG,14,14,28.9,3.6,7.9,0.459,0.5,2.4,0.212,3.1,5.6,0.564,0.491,1.7,2.3,0.75,1.4,2.8,4.2,2.5,0.6,0.4,1.2,2.1,9.5,,braunch01
198,Herbert Jones,27,NOP,SF,23,23,28.3,3.5,8.8,0.394,1.4,4.2,0.333,2.1,4.7,0.449,0.473,1.1,1.4,0.813,1.1,2.6,3.7,2.3,1.7,0.3,1.3,3.3,9.5,,joneshe01
199,Bub Carrington,20,WAS,PG,39,12,27.5,3.2,8.2,0.394,1.9,4.7,0.408,1.3,3.5,0.375,0.511,1,1.4,0.736,0.4,3.5,3.9,4.5,0.5,0.2,2.2,2.4,9.4,,carrica01
200,Marcus Smart,31,LAL,SG,29,22,28.4,3,7.7,0.396,1.6,5.1,0.304,1.5,2.6,0.581,0.498,1.8,1.9,0.927,0.7,2.4,3.1,3,1.4,0.4,1.8,2.8,9.4,,smartma01
201,Corey Kispert,26,2TM,SF,21,2,19.5,3.1,6.4,0.485,1.6,4.1,0.384,1.5,2.3,0.667,0.608,1.5,2,0.762,0.3,1.9,2.2,1.7,0.4,0.1,0.8,1.1,9.3,,kispeco01
201,Corey Kispert,26,WAS,SF,19,2,19.5,3.1,6.3,0.496,1.6,4,0.395,1.5,2.3,0.674,0.622,1.4,1.8,0.765,0.3,2,2.3,1.7,0.4,0.2,0.7,1.1,9.2,,kispeco01
201,Corey Kispert,26,ATL,SF,2,0,19.5,3,7.5,0.4,1.5,5,0.3,1.5,2.5,0.6,0.5,3,4,0.75,0,1,1,2,0.5,0,1.5,1.5,10.5,,kispeco01
202,Landry Shamet,28,NYK,SG,15,6,20.9,2.8,6.2,0.452,1.9,4.4,0.424,0.9,1.8,0.519,0.602,1.8,2.3,0.794,0.5,1.5,2,1.2,0.4,0.2,0.5,1.3,9.3,,shamela01
203,Kyle Filipowski,22,UTA,C,39,13,22,3.5,7.5,0.462,0.8,2.5,0.313,2.7,4.9,0.539,0.515,1.5,2.2,0.694,1.6,4.5,6.1,2,0.6,0.5,1.2,2.6,9.2,,filipky01
204,Pelle Larsson,24,MIA,SG,32,19,22.3,3.2,6.9,0.464,1,3,0.344,2.2,3.9,0.556,0.538,1.7,2.3,0.753,0.6,2.1,2.7,3.1,0.6,0.3,1,1.9,9.2,,larsspe01
205,Jalen Smith,25,CHI,C,33,4,18.2,3.3,7.2,0.46,1.3,3.9,0.333,2,3.3,0.609,0.55,1.2,1.6,0.759,2,4.5,6.5,1.2,0.3,0.8,0.9,1.9,9.2,,smithja04
206,Cam Whitmore,21,WAS,SF,21,0,16.9,3.7,8,0.456,0.8,2.7,0.286,2.9,5.4,0.54,0.503,1.1,1.5,0.742,0.9,1.9,2.8,0.7,0.7,0.4,0.9,1.2,9.2,,whitmca01
207,Davion Mitchell,27,MIA,PG,38,38,29.5,3.7,7.7,0.478,1.1,2.8,0.398,2.6,4.9,0.524,0.551,0.6,1,0.615,0.3,2.1,2.5,7.3,1.2,0.1,1.7,2.8,9.1,,mitchda01
208,Ziaire Williams,24,BRK,SF,29,4,22.6,2.9,7,0.407,1.6,5.1,0.313,1.3,2,0.649,0.52,1.8,2.1,0.867,0.6,1.8,2.4,0.7,1.1,0.5,1,2,9.1,,willizi02
209,Svi Mykhailiuk,28,UTA,SF,35,35,24.8,3.4,7.2,0.466,1.9,4.8,0.385,1.5,2.4,0.631,0.595,0.4,0.5,0.882,0.8,1.8,2.6,2,0.5,0.1,0.8,1.3,9,,mykhasv01
210,Jarace Walker,22,IND,PF,41,12,23,3,8.2,0.366,1.5,4.3,0.356,1.5,3.9,0.377,0.46,1.5,1.9,0.803,0.4,3.9,4.3,1.9,0.7,0.3,1.5,1.6,9,,walkeja02
211,Jordan Goodwin,27,PHO,PG,37,2,21.5,3.4,8.6,0.392,1.5,4.5,0.341,1.8,4.1,0.447,0.481,0.6,0.8,0.733,1.9,2.7,4.6,2.2,1.4,0.2,1.2,1.6,8.9,,goodwjo01
212,Nikola Jović,22,MIA,PF,29,1,19.7,2.9,7.3,0.392,1.2,3.8,0.309,1.7,3.5,0.48,0.472,1.8,2.3,0.779,0.5,3.3,3.8,2.9,0.7,0.4,1.8,1.8,8.7,,jovicni01
213,Isaac Okoro,25,CHI,SG,32,32,25,3.3,6.9,0.471,1.1,3.2,0.34,2.2,3.7,0.585,0.55,1.1,1.4,0.761,1.2,1.6,2.8,1.4,0.5,0.5,0.7,2.7,8.7,,okorois01
214,Isaiah Collier,21,UTA,PG,32,3,23,3.1,6.1,0.51,0.4,1.3,0.341,2.7,4.8,0.555,0.546,1.9,2.8,0.667,0.3,2,2.3,6.6,0.7,0.3,2.3,2.3,8.6,,colliis01
215,Draymond Green,35,GSW,PF,34,34,26.9,3.1,7.4,0.428,1.5,4.4,0.336,1.7,3,0.564,0.528,0.9,1.3,0.659,0.7,5.2,5.9,5.3,0.9,0.8,2.9,3.1,8.6,,greendr01
216,Ryan Kalkbrenner,24,CHO,C,28,25,25,3.6,4.7,0.779,0,0.1,0,3.6,4.6,0.791,0.779,1.3,1.8,0.735,2.6,3.7,6.3,0.6,0.6,1.8,1.1,1.8,8.6,,kalkbry01
217,Gary Trent Jr.,27,MIL,SG,38,17,24.9,2.9,7.7,0.382,2,5.5,0.362,0.9,2.2,0.434,0.512,0.7,0.9,0.818,0.1,1.2,1.3,1.6,0.7,0.1,0.6,1.4,8.6,,trentga02
218,Kentavious Caldwell-Pope,32,MEM,SG,38,13,21.3,2.9,7.1,0.411,1.3,3.6,0.356,1.7,3.6,0.467,0.5,1.4,1.5,0.931,0.4,2,2.4,3,0.8,0.2,1.2,1,8.5,,caldwke01
219,Jonas Valančiūnas,33,DEN,C,33,1,13.3,3.5,5.9,0.593,0.1,0.4,0.25,3.4,5.5,0.615,0.601,1.4,1.8,0.77,1.3,3.3,4.7,1.2,0.2,0.6,1.1,2,8.5,,valanjo01
220,Ron Holland,20,DET,SF,36,5,21,3.1,7.5,0.41,0.7,2.8,0.242,2.4,4.8,0.506,0.454,1.6,1.9,0.812,1.1,3.1,4.2,1.4,1.4,0.4,1.3,2.1,8.4,,hollaro01
221,Jay Huff,27,IND,C,41,22,19.9,3,6.7,0.453,1.4,4.4,0.311,1.7,2.3,0.723,0.555,1,1.2,0.833,1,2.7,3.7,1.3,0.4,2.1,0.9,2.4,8.4,,huffja01
222,Dominick Barlow,22,PHI,PF,29,26,24.4,3.3,6,0.552,0.4,1.6,0.267,2.9,4.4,0.651,0.586,1.3,1.6,0.787,2.1,3.1,5.2,1.3,0.7,0.8,1,2.3,8.3,,barlodo01
223,Jaden Ivey,23,DET,SG,23,2,16.9,3.1,6.8,0.452,1,3.1,0.338,2,3.7,0.547,0.529,1.1,1.4,0.813,0.6,1.6,2.2,1.8,0.6,0.3,0.9,1.3,8.3,,iveyja01
224,Caris LeVert,31,DET,SG,28,0,20,2.9,6.7,0.439,1.2,3.3,0.37,1.7,3.4,0.505,0.529,1.2,1.8,0.667,0.3,1.5,1.8,2.9,0.9,0.6,1.4,1.4,8.3,,leverca01
225,Bradley Beal,32,LAC,SG,6,6,20.2,3,8,0.375,1.2,3.2,0.368,1.8,4.8,0.379,0.448,1,1.3,0.75,0.3,0.5,0.8,1.7,0.5,0,1.5,2.3,8.2,,bealbr01
226,Moussa Diabaté,24,CHO,C,37,11,24.3,3.1,5,0.62,0,0,,3.1,5,0.62,0.62,2,3,0.667,3.7,4.7,8.4,1.5,0.8,1,0.8,2.5,8.2,,diabamo01
227,Luguentz Dort,26,OKC,SF,31,31,26.9,2.9,7.5,0.384,1.8,5.6,0.324,1.1,1.9,0.559,0.504,0.7,0.7,0.913,0.8,2.8,3.7,1,0.9,0.6,0.7,3.1,8.2,,dortlu01
228,Luke Kornet,30,SAS,C,32,22,24.7,3.1,4.8,0.658,0,0,,3.1,4.8,0.658,0.658,2,2.4,0.829,3.2,3.8,6.9,2,0.4,1.3,0.5,2.1,8.2,,kornelu01
229,Tre Mann,24,CHO,PG,26,1,17.6,3.1,8.3,0.373,1.4,4.3,0.321,1.7,4,0.429,0.456,0.6,0.7,0.882,0.7,1.8,2.5,2.3,0.5,0.1,1.4,1.9,8.2,,manntr01
230,Bogdan Bogdanović,33,LAC,SG,16,3,22.5,2.8,7.3,0.376,1.5,4.5,0.333,1.3,2.8,0.444,0.479,1,1.2,0.842,0.3,2.6,2.9,2.7,0.5,0.1,1.2,2.5,8,,bogdabo01
231,Simone Fontecchio,30,MIA,SF,37,1,16.1,2.6,6.6,0.389,1.7,4.7,0.364,0.9,1.9,0.451,0.518,1.2,1.5,0.8,0.5,2.2,2.7,1.4,0.5,0.1,0.9,1.4,8,,fontesi01
232,Moritz Wagner,28,ORL,C,1,0,10,3,7,0.429,0,2,0,3,5,0.6,0.429,2,2,1,0,2,2,2,0,0,0,2,8,,wagnemo01
233,Grant Williams,27,CHO,PF,2,0,13.5,2.5,6.5,0.385,2,6,0.333,0.5,0.5,1,0.538,1,1.5,0.667,2,3,5,0,0,0,0,0,8,,willigr01
234,Jose Alvarado,27,NOP,PG,35,0,22.2,2.9,6.8,0.424,1.6,4.4,0.361,1.3,2.4,0.542,0.542,0.5,0.7,0.826,0.4,2.4,2.8,3.3,1,0.1,1.3,2.1,7.9,,alvarjo01
235,Kris Dunn,31,LAC,PG,40,34,27.1,3,6.2,0.484,1.1,3,0.364,1.9,3.2,0.598,0.573,0.8,1,0.775,0.8,2,2.8,3.1,1.5,0.2,1.3,2.3,7.9,,dunnkr01
236,Luke Kennard,29,ATL,SG,36,0,20.5,2.8,5.3,0.521,1.6,3.3,0.475,1.2,1.9,0.6,0.671,0.8,0.8,0.933,0.4,1.5,1.9,2.3,0.8,0.1,0.8,1.2,7.9,,kennalu01
237,Bryce McGowens,23,NOP,SG,27,11,19.7,2.6,5.4,0.476,0.9,1.9,0.462,1.7,3.5,0.484,0.558,1.8,2.4,0.75,0.3,1.7,2.1,1.4,0.6,0.1,0.6,1.9,7.9,,mcgowbr01
238,Quinten Post,25,GSW,PF,41,27,18,3,6.8,0.436,1.5,4.5,0.341,1.4,2.3,0.621,0.548,0.4,0.5,0.818,0.9,2.9,3.8,1.4,0.5,0.5,0.8,2,7.9,,postqu01
239,Day'Ron Sharpe,24,BRK,C,37,3,17.9,3,5,0.605,0.2,0.8,0.214,2.9,4.2,0.675,0.622,1.6,2.5,0.663,2.4,3.9,6.3,2.3,1,0.5,1.6,2.2,7.9,,sharpda01
240,Daniel Gafford,27,DAL,C,29,20,20.8,3,4.8,0.629,0,0,,3,4.8,0.629,0.629,1.8,2.3,0.761,2,4.5,6.5,0.8,0.8,1.3,1.3,2.6,7.8,,gaffoda01
241,Sam Hauser,28,BOS,PF,38,10,22.5,2.6,6.8,0.385,2.3,6.1,0.383,0.3,0.8,0.4,0.554,0.2,0.2,0.875,0.7,2.9,3.6,1.2,0.6,0.3,0.6,1.2,7.8,,hausesa01
242,Terance Mann,29,BRK,SG,34,33,26,2.8,6.3,0.449,0.8,2.6,0.322,2,3.7,0.535,0.514,1.3,1.6,0.815,1.4,2.1,3.4,3.7,0.8,0.3,1.1,2.7,7.8,,mannte01
243,Vince Williams Jr.,25,MEM,PG,25,11,21.9,2.7,7.6,0.351,1.3,4.4,0.3,1.4,3.2,0.42,0.437,1.1,1.3,0.818,0.8,3.5,4.3,4.9,0.7,0.5,2,2.1,7.8,,willivi01
244,Tyrese Martin,26,BRK,SG,31,6,19.6,2.9,7.2,0.397,1.5,4.3,0.341,1.4,3,0.478,0.498,0.5,0.8,0.708,0.9,2,3,2.1,0.7,0.1,1,1,7.7,,martity01
245,Jamaree Bouyea,26,PHO,PG,19,0,14.7,3.1,5.5,0.562,0.8,2.1,0.41,2.3,3.5,0.652,0.638,0.6,0.8,0.688,0.5,1.5,2.1,1.7,0.6,0.4,0.4,0.7,7.6,,bouyeja01
246,Daniss Jenkins,24,DET,PG,31,6,16.4,2.8,6.5,0.428,1,2.5,0.39,1.8,4,0.452,0.502,1.1,1.4,0.795,0.6,1.3,1.8,3.3,0.9,0.1,1.4,1.3,7.6,,jenkida01
247,Collin Murray-Boyles,20,TOR,PF,35,11,21,3.1,5.9,0.534,0.4,1.2,0.357,2.7,4.7,0.579,0.57,0.9,1.3,0.638,2.5,2.6,5.1,1.9,0.9,0.6,1.1,2.7,7.6,,murraco01
248,Ryan Nembhard,22,DAL,PG,28,17,20.5,3.2,6.9,0.469,1,2.5,0.394,2.2,4.3,0.512,0.542,0.2,0.3,0.714,0.2,1.6,1.9,5.1,0.2,0,1.5,1.5,7.6,,nembhry01
249,Micah Potter,27,IND,C,11,2,16.9,2.3,4.6,0.49,1.4,3.2,0.429,0.9,1.5,0.625,0.637,1.7,1.8,0.95,0.7,2.7,3.5,1.3,0.3,0.3,0.7,1.9,7.6,,pottemi01
250,Precious Achiuwa,26,SAC,C,34,20,20.8,3.1,6.2,0.495,0.4,1.1,0.333,2.7,5,0.532,0.526,1,1.9,0.515,1.9,3.6,5.6,1.2,0.9,0.6,0.6,1.7,7.5,,achiupr01
251,Kyle Anderson,32,UTA,SF,13,0,19.8,3,6,0.5,0.1,0.2,0.5,2.9,5.8,0.5,0.506,1.5,1.9,0.76,1.1,2.5,3.6,2.8,1.4,0.4,0.9,2.3,7.5,,anderky01
252,Luka Garza,27,BOS,C,31,1,16.3,2.7,4.4,0.618,0.7,1.3,0.512,2,3.1,0.663,0.695,1.4,1.7,0.796,2.5,1.9,4.4,0.9,0.4,0.5,0.4,2.5,7.5,,garzalu01
253,Danny Wolf,21,BRK,PF,24,3,19.4,2.6,6.9,0.382,1,3,0.342,1.6,3.8,0.413,0.458,1.1,1.3,0.813,1,3.3,4.3,1.8,0.7,0.3,1.1,1.7,7.4,,wolfda01
254,Isaiah Jackson,24,IND,C,29,14,18.3,2.9,4.9,0.585,0,0,,2.9,4.9,0.585,0.585,1.6,2.1,0.742,2.5,3.4,5.9,0.8,0.7,0.8,1.1,3,7.3,,jacksis01
255,Quenton Jackson,27,IND,PG,18,8,15.8,2.3,5.1,0.446,0.8,2,0.389,1.5,3.1,0.482,0.522,2,2.6,0.766,0.4,1.6,2,1.9,0.6,0.2,1.1,1.6,7.3,,jacksqu01
256,Will Richard,23,GSW,SG,36,13,18.8,2.6,5.1,0.503,1.2,3.1,0.381,1.4,2,0.694,0.619,1,1.2,0.814,1,1.6,2.6,1.1,1,0.1,0.8,1.9,7.3,,richawi02
257,Cason Wallace,22,OKC,SG,39,32,26.8,2.8,6.7,0.411,1.3,3.8,0.351,1.4,2.9,0.487,0.51,0.4,0.6,0.773,0.8,2.2,3,2.1,2.2,0.2,0.9,2,7.3,,wallaca01
258,Javonte Green,32,DET,SG,38,4,19.9,2.5,5.6,0.439,1.1,3,0.351,1.4,2.6,0.54,0.533,1.2,1.6,0.783,0.8,2.1,2.8,0.8,1.4,0.4,0.7,1.6,7.2,,greenja02
259,Buddy Hield,33,GSW,SG,35,3,16.7,2.7,6.4,0.415,1.4,4.2,0.324,1.3,2.2,0.592,0.522,0.5,0.6,0.9,0.6,1.8,2.4,1.4,0.8,0.1,1,1.3,7.2,,hieldbu01
260,Kevin Love,37,UTA,PF,23,4,17.3,2.3,5.8,0.403,1.5,4.2,0.354,0.9,1.7,0.526,0.53,1,1.3,0.8,1.6,3.9,5.4,1.9,0.3,0.3,0.7,1.9,7.2,,loveke01
261,Bruce Brown,29,DEN,SG,41,2,24.7,2.8,6.1,0.452,0.5,1.5,0.317,2.3,4.6,0.495,0.49,1.1,1.5,0.767,1.1,3.1,4.2,2.1,1,0.2,1,2.4,7.1,,brownbr01
262,Walter Clayton,22,UTA,PG,35,0,17.5,2.3,5.6,0.411,1.1,3.3,0.339,1.2,2.3,0.512,0.51,1.3,1.4,0.959,0.3,1.7,2,3.2,0.5,0.2,1.1,1.9,7.1,,claytwa01
263,Trendon Watford,25,PHI,PF,18,4,17.3,2.7,5.1,0.527,0.4,1.1,0.4,2.2,3.9,0.563,0.571,1.3,1.7,0.8,0.8,3.1,3.9,3.2,0.3,0.2,1.2,2.2,7.1,,watfotr01
264,Seth Curry,35,GSW,SG,2,0,16,3,4.5,0.667,1,2,0.5,2,2.5,0.8,0.778,0,0,,0.5,1.5,2,1.5,1,0,0,1.5,7,,curryse01
265,Andre Drummond,32,PHI,C,34,15,20,2.7,5.4,0.503,0.5,1.3,0.378,2.2,4.1,0.543,0.549,1.1,1.7,0.655,3.4,5.4,8.8,0.8,0.6,0.9,0.8,2,7,,drumman01
266,Jamal Shead,23,TOR,PG,42,4,21.5,2.4,6.5,0.365,1.1,3.5,0.322,1.2,2.9,0.418,0.454,1.2,1.5,0.778,0.4,1.4,1.8,5.5,1,0.1,1.3,2.1,7,,sheadja01
267,Bones Hyland,25,MIN,PG,32,3,13.9,2.5,5.5,0.451,1.2,3.4,0.361,1.3,2.1,0.597,0.563,0.7,0.9,0.767,0.2,1.2,1.4,2.5,0.5,0.2,0.8,1.7,6.9,,hylanbo01
268,Jordan Miller,26,LAC,SF,19,0,15.9,2.4,4.7,0.506,0.8,1.9,0.417,1.6,2.8,0.566,0.59,1.4,1.7,0.818,0.8,2.2,2.9,1.3,0.4,0.2,0.7,0.7,6.9,,millejo02
269,Tristan Vukcevic,22,WAS,C,30,2,11.4,2.3,5.1,0.455,0.4,2,0.2,1.9,3.1,0.617,0.494,1.8,2.4,0.764,0.6,1.8,2.4,1,0.3,0.7,1,1.2,6.9,,vukcetr01
270,Justin Champagnie,24,WAS,SF,37,9,17.9,2.6,5.3,0.49,0.6,1.9,0.314,2,3.4,0.587,0.546,1,1.4,0.72,2.1,3.5,5.6,1,0.7,0.6,0.5,1.6,6.8,,champju01
271,Ryan Dunn,23,PHO,SF,33,11,21.6,2.7,6.1,0.445,0.8,2.7,0.307,1.9,3.4,0.554,0.513,0.5,0.8,0.692,1.7,3.1,4.7,1.8,1,0.5,1.1,2.5,6.8,,dunnry01
272,Al Horford,39,GSW,C,22,1,19.2,2.4,6.2,0.382,1.5,4.5,0.347,0.8,1.7,0.474,0.507,0.5,0.5,1,1,3.8,4.8,1.9,0.8,1,1,1.1,6.7,,horfoal01
273,Nick Smith Jr.,21,LAL,SG,20,1,14.4,2.5,5.9,0.427,1.3,3.2,0.406,1.2,2.7,0.453,0.538,0.3,0.5,0.6,0.1,0.8,0.9,1.2,0.4,0.1,0.8,1.1,6.6,,smithni01
274,Jaden Hardy,23,DAL,SG,28,3,12,2.2,5.4,0.401,1.3,3.4,0.375,0.9,2,0.446,0.52,0.8,1,0.852,0.4,1.1,1.4,0.6,0.3,0.1,0.8,1.2,6.5,,hardyja02
275,Sion James,23,CHO,SG,40,16,25.6,2,4.9,0.405,1.1,3,0.378,0.9,1.9,0.447,0.521,1.4,1.6,0.862,0.5,2.9,3.4,1.9,0.6,0.4,0.8,1.7,6.5,,jamessi01
276,Brook Lopez,37,LAC,C,33,7,17.1,2.2,6.1,0.363,1.5,4.5,0.338,0.7,1.6,0.434,0.488,0.6,0.7,0.833,0.4,2.3,2.7,0.9,0.4,1,0.8,1.6,6.5,,lopezbr01
277,Ben Sheppard,24,IND,SG,30,11,23.7,2.3,6.2,0.378,1.2,3.7,0.318,1.2,2.5,0.467,0.473,0.7,0.8,0.8,0.7,3,3.6,1.8,0.6,0.1,0.6,1.9,6.5,,sheppbe01
278,Patrick Williams,24,CHI,PF,38,1,18.6,2.3,6.1,0.371,1.3,3.3,0.395,1,2.8,0.343,0.476,0.7,1,0.667,0.7,2.3,2.9,1.2,0.7,0.3,0.9,1.2,6.5,,willipa01
