Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
16,Jalen Johnson,24,ATL,SF,38,38,1340,22.1,0.609,0.269,0.322,4.4,27.2,15.7,35.1,1.7,1.4,15,26.8,2.6,1.8,4.3,0.155,3.7,1.4,5.1,2.4,,johnsja05
17,Nickeil Alexander-Walker,27,ATL,SG,40,33,1318,15.2,0.585,0.501,0.237,2,10,6,14.5,1.5,1.6,10.3,25,0.9,1,1.9,0.068,0.5,-1.4,-0.8,0.4,,alexani01
18,Jamal Murray,28,DEN,PG,37,37,1317,22.4,0.616,0.407,0.238,1.5,12.4,7.2,32.4,1.4,0.8,10,28.4,3.9,0.8,4.7,0.171,5.7,-1.8,4,2,,murraja01
19,James Harden,36,LAC,PG,37,37,1316,22.3,0.607,0.516,0.495,2.1,13.2,7.8,37.1,1.8,0.9,14.3,30.8,3.4,0.9,4.3,0.158,5.1,-1,4.1,2,,hardeja01
20,Miles Bridges,27,CHO,PF,39,39,1302,16.5,0.564,0.448,0.269,3.2,18.3,10.9,17.2,0.8,1.4,7.8,23.6,2.2,0.9,3.1,0.114,1.6,-0.8,0.8,0.9,,bridgmi02
21,Derrick White,31,BOS,SG,38,38,1302,17.3,0.532,0.593,0.178,2.8,11.4,7.1,21.4,1.9,4.5,9.6,24.4,1.8,1.5,3.2,0.12,2.7,0.4,3.1,1.7,,whitede01
22,Immanuel Quickley,26,TOR,PG,40,40,1300,15.4,0.552,0.532,0.238,1.9,12.6,7.2,26.7,1.7,0.4,10.1,21.7,1.6,1.5,3.1,0.114,1.2,0.2,1.4,1.1,,quickim01
23,Shai Gilgeous-Alexander,27,OKC,PG,39,39,1298,31.6,0.664,0.252,0.464,1.5,12.8,7.4,33.2,2,2.3,7.5,33.6,6.7,2.5,9.2,0.339,9.3,2.8,12,4.6,,gilgesh01
24,Donte DiVincenzo,29,MIN,SG,41,41,1290,14.1,0.585,0.757,0.162,3.6,12,7.9,17.7,2,1.2,10.3,17.1,2,1.6,3.6,0.132,1,0.9,1.8,1.3,,divindo01
25,Donovan Mitchell,29,CLE,SG,38,38,1286,23.8,0.628,0.48,0.289,2.6,12.6,7.6,27.6,2.1,0.7,11.2,32.5,3.4,1.3,4.7,0.174,6.1,-0.1,6,2.6,,mitchdo01
26,Payton Pritchard,28,BOS,PG,39,39,1282,17.4,0.564,0.53,0.139,3.4,11.8,7.6,22.9,1.3,0.3,6.8,21.2,3.2,0.9,4.1,0.154,2.4,-0.7,1.7,1.2,,pritcpa01
27,Onyeka Okongwu,25,ATL,C,40,29,1276,15.8,0.584,0.414,0.22,6.3,20.9,13.6,15,1.7,2.8,11.6,20.3,1.2,1.6,2.8,0.105,-0.4,0.3,-0.1,0.6,,okongon01
28,Jalen Brunson,29,NYK,PG,37,37,1276,21.9,0.6,0.37,0.288,1.7,8.8,5.1,29.5,1,0.2,8.9,31.4,3.9,0.6,4.5,0.17,5.2,-1.9,3.3,1.7,,brunsja01
29,Kevin Durant,37,HOU,SF,35,35,1274,21.1,0.638,0.304,0.34,1.2,15.3,8.3,19.1,0.9,2.5,12.8,26.9,3.7,1.3,5,0.189,4.3,0,4.2,2,,duranke01
30,Ryan Rollins,23,MIL,PG,40,35,1271,15.9,0.571,0.428,0.156,2.9,13.1,8.1,26.2,2.3,1.2,13.9,23.2,1,1.2,2.2,0.085,0.4,-0.1,0.3,0.7,,rolliry01
31,Kon Knueppel,20,CHO,SF,39,38,1269,16.3,0.638,0.589,0.2,3.5,14.1,8.9,17.2,1,0.6,13.3,22.2,2.3,0.7,3,0.115,2.4,-1.1,1.3,1.1,,knuepko01
32,Rudy Gobert,33,MIN,C,40,40,1268,17.7,0.693,0.004,0.567,13.8,25.3,19.7,7.7,0.9,4.6,14.5,12.3,2.9,2.1,5,0.188,0.2,0.9,1.1,1,,goberru01
33,Devin Booker,29,PHO,SG,37,37,1260,19.7,0.578,0.298,0.45,2.8,10.6,6.6,30.4,1.3,0.9,13,30.8,2.6,1.1,3.8,0.143,2.7,-0.8,1.9,1.3,,bookede01
34,VJ Edgecombe,20,PHI,SG,35,35,1253,13.5,0.533,0.433,0.167,5.1,11.3,8.1,17.6,2.1,1.3,10.5,19.5,1,1.4,2.3,0.089,-0.7,0.4,-0.3,0.6,,edgecvj01
35,Jabari Smith Jr.,22,HOU,PF,36,36,1247,12.8,0.546,0.495,0.209,5,17.2,11.1,7.2,1.1,2.1,8.6,18.2,1.5,1.4,2.9,0.112,-0.9,-0.4,-1.3,0.2,,smithja05
36,Jaden McDaniels,25,MIN,PF,39,39,1240,14.2,0.618,0.304,0.226,3.9,11.3,7.7,11.8,1.7,2.6,12.2,18.1,1.6,1.5,3.1,0.122,-0.7,0.7,0,0.6,,mcdanja02
37,Jaylen Brown,29,BOS,SF,36,36,1233,22.9,0.588,0.266,0.327,3.9,17,10.5,25.3,1.5,1.2,13,36.4,2.2,1.2,3.5,0.135,4.1,-0.9,3.2,1.6,,brownja02
38,Anthony Black,22,ORL,PG,40,20,1212,14.2,0.565,0.363,0.318,2.9,12,7.4,19.3,2.1,2,14.8,22.6,0.3,1.5,1.8,0.071,-0.8,0.5,-0.3,0.5,,blackan01
39,Russell Westbrook,37,SAC,SF,41,35,1210,15.3,0.525,0.436,0.23,5.7,19.1,12.2,35.6,2.2,0.5,19.3,25.3,-0.5,0.9,0.4,0.016,0.6,-0.4,0.2,0.7,,westbru01
40,Nikola Vučević,35,CHI,C,39,39,1197,18.4,0.583,0.343,0.109,7.8,23.8,15.9,18.1,1.1,1.6,9.2,21.8,1.8,1.1,2.9,0.117,1.9,-0.3,1.6,1.1,,vucevni01
41,Karl-Anthony Towns,30,NYK,C,37,37,1197,20.6,0.602,0.323,0.463,9.4,29.1,19,13.4,1.4,2,13,25.9,2.6,1.5,4.1,0.164,2,-0.3,1.7,1.1,,townska01
42,Evan Mobley,24,CLE,PF,36,34,1194,18.9,0.586,0.284,0.355,7.5,21.1,14.2,17.9,1.4,5.1,12.3,21.7,1.7,1.7,3.4,0.136,1.4,1.4,2.8,1.4,,mobleev01
43,Lauri Markkanen,28,UTA,PF,33,33,1187,21.3,0.616,0.405,0.345,6,15.9,10.9,10,1.4,1.3,6.5,27.8,2.9,0.2,3.1,0.125,4.5,-2.1,2.4,1.3,,markkla01
44,Naji Marshall,28,DAL,SF,41,18,1186,15.6,0.631,0.303,0.394,3.2,13.2,8.4,13.9,1.7,0.3,10.4,17.8,2,1.3,3.3,0.133,-0.4,0.9,0.5,0.7,,marshna01
45,Royce O'Neale,32,PHO,SF,40,35,1180,11.8,0.606,0.823,0.044,2.6,16.8,9.5,12.8,2.1,1,14.6,14.3,1,1.6,2.5,0.104,0,1.2,1.2,1,,onealro01
46,Cade Cunningham,24,DET,PG,33,33,1176,22.7,0.577,0.304,0.366,3.3,15.8,9.6,43.1,2.1,2.3,14.6,31.2,2.7,1.9,4.6,0.189,5,1.5,6.5,2.5,,cunnica01
47,Quentin Grimes,25,PHI,SG,37,7,1169,13.2,0.601,0.585,0.325,2.3,11.3,6.7,16.9,1.5,1.4,15.3,18.3,1.2,1.1,2.3,0.093,-0.4,-0.2,-0.6,0.4,,grimequ01
48,Harrison Barnes,33,SAS,PF,40,40,1157,11.4,0.581,0.59,0.215,3,8.3,5.7,10.2,1.3,0.4,9.1,15.5,1.2,1.2,2.4,0.099,-0.7,0,-0.7,0.4,,barneha02
49,Jeremiah Fears,19,NOP,PG,43,41,1152,12.3,0.517,0.26,0.236,3.1,12.2,7.5,17.6,2.2,0.8,15.1,25,-0.9,0.5,-0.4,-0.017,-2.5,-1.8,-4.3,-0.7,,fearsje01
50,Anthony Edwards,24,MIN,SG,33,33,1152,22.6,0.626,0.409,0.357,2,13.5,7.8,17.6,1.8,2.1,10.6,31.2,2.4,1.5,3.9,0.164,5.1,0.2,5.3,2.1,,edwaran01
51,Wendell Carter Jr.,26,ORL,C,38,38,1151,14.5,0.62,0.383,0.38,8.7,19.4,14,9.6,1.1,2.1,11.6,15.7,1.9,1.4,3.3,0.136,-0.6,0.4,-0.1,0.5,,cartewe01
52,Peyton Watson,23,DEN,SF,39,29,1145,14.5,0.615,0.342,0.339,4,14.9,9.7,8.6,1.7,3.1,12.8,19,1.1,1.1,2.1,0.089,-0.5,-0.5,-0.9,0.3,,watsope01
53,Andrew Wiggins,30,MIA,SF,36,36,1140,14.2,0.561,0.357,0.17,6,9.8,7.9,12.2,1.8,3.2,11.1,20.3,0.6,1.5,2,0.086,-0.2,0.7,0.5,0.7,,wiggian01
54,Julian Champagnie,24,SAS,SF,40,26,1138,12.8,0.591,0.758,0.222,3.9,19.4,11.7,6.9,1.4,1.4,9.5,15.5,1.1,1.6,2.7,0.116,0.2,0.6,0.9,0.8,,champju02
55,CJ McCollum,34,2TM,PG,37,35,1133,15.2,0.566,0.452,0.193,2.1,9.4,5.8,18.5,1.1,0.7,8.9,24.9,1,0,1,0.044,0.8,-2.8,-2,0,,mccolcj01
55,CJ McCollum,34,WAS,SG,35,35,1082,15.3,0.573,0.461,0.193,2.2,9.7,6,18.3,1.1,0.7,9.2,24.4,1.1,0,1.1,0.049,1.1,-2.7,-1.7,0.1,,mccolcj01
55,CJ McCollum,34,ATL,PG,2,0,51,12,0.462,0.324,0.189,0,2.2,1.1,23.2,1.8,0,4.8,34.5,-0.1,0,-0.1,-0.078,-4.6,-4.2,-8.8,-0.1,,mccolcj01
56,Jimmy Butler,36,GSW,SF,36,36,1129,23,0.645,0.189,0.646,7.6,11.9,9.8,24.3,2.2,0.6,9.5,22.8,4.4,1.3,5.7,0.242,4.6,0.6,5.2,2.1,,butleji01
57,Luka Dončić,26,LAL,PG,31,31,1129,27,0.606,0.454,0.527,3.1,21.7,12.7,41.8,2.2,1.4,14.2,38.2,3.1,1.2,4.3,0.184,6.9,0.6,7.5,2.7,,doncilu01
58,Jaren Jackson Jr.,26,MEM,C,37,37,1125,14.7,0.574,0.319,0.287,3.2,16.1,9.7,10,1.4,4.7,11.9,24.8,0.1,1.6,1.6,0.07,-1.5,0.7,-0.8,0.3,,jacksja02
59,Davion Mitchell,27,MIA,PG,38,38,1122,11.8,0.559,0.369,0.133,1.2,7.4,4.3,31.7,1.8,0.3,17.3,13.6,1.2,1.2,2.4,0.102,-1.9,0.7,-1.2,0.2,,mitchda01
60,Collin Gillespie,26,PHO,PG,40,21,1119,16.5,0.585,0.65,0.11,4.1,12.6,8.2,24.4,2.5,0.9,13.1,19.3,1.9,1.4,3.3,0.142,2.6,1.1,3.7,1.6,,gilleco01
61,Myles Turner,29,MIL,C,39,39,1110,13.9,0.577,0.608,0.3,4.9,16.4,10.7,7.6,1.1,5.3,8.5,18.2,0.9,1.2,2.1,0.091,-0.5,-0.1,-0.7,0.4,,turnemy01
62,Matas Buzelis,21,CHI,PF,40,40,1109,14.7,0.596,0.457,0.266,4.4,15.3,10,8.8,1.2,4.2,12.2,21.3,0.6,1,1.6,0.068,-1.1,-0.4,-1.5,0.1,,buzelma01
63,Nikola Jokić,30,DEN,C,32,32,1106,35.9,0.713,0.275,0.425,10.5,28.6,20,53.1,1.9,2.1,14.5,30.6,7.2,1.5,8.7,0.378,12.3,4.2,16.5,5.1,,jokicni01
64,Max Christie,22,DAL,SG,38,29,1103,12.1,0.642,0.613,0.204,0.8,11.6,6.3,10.3,0.8,1.1,10.6,15.5,1.2,1,2.2,0.096,-0.2,0,-0.2,0.5,,chrisma02
65,Shaedon Sharpe,22,POR,SG,37,31,1102,15.6,0.541,0.331,0.238,4,12.1,7.9,15.4,2.3,0.4,12.8,31,-0.3,1,0.7,0.029,-0.3,-1.2,-1.5,0.1,,sharpsh01
66,Tim Hardaway Jr.,33,DEN,SG,40,5,1098,14,0.636,0.697,0.203,0.9,8.6,4.9,6.9,0.9,0.3,3.6,17.8,2.2,0.3,2.5,0.11,1.7,-2.2,-0.5,0.4,,hardati02
67,Brandin Podziemski,22,GSW,SG,41,12,1093,13.7,0.586,0.495,0.239,2.8,15.5,9.1,17.4,1.9,0.6,11.8,18,1.1,1.3,2.5,0.109,-0.4,0.5,0.1,0.6,,podzibr01
68,A.J. Green,26,MIL,SG,37,37,1093,9.7,0.646,0.904,0.103,0.7,9.3,5.1,9.4,1.1,0.3,9.8,13.2,1.1,0.5,1.6,0.072,-1.4,-1.1,-2.5,-0.1,,greenaj01
69,Derik Queen,21,NOP,C,42,30,1091,16.8,0.55,0.094,0.346,7,24.8,15.7,24.4,1.9,3.6,17.7,22.1,0.4,1.1,1.5,0.067,-1.1,0.9,-0.2,0.5,,queende01
70,Santi Aldama,25,MEM,PF,39,8,1091,16.4,0.567,0.427,0.224,5.9,19.5,12.8,16.5,1.5,2.5,9.8,20.1,1.1,1.5,2.6,0.115,1.2,0.9,2.1,1.1,,aldamsa01
71,Naz Reid,26,MIN,C,41,1,1087,16.6,0.589,0.542,0.133,5,20.5,12.9,13.1,1.6,2.9,11.3,22.2,1.1,1.7,2.8,0.123,1,0.8,1.8,1,,reidna01
72,Noah Clowney,21,BRK,PF,38,32,1084,11.3,0.551,0.656,0.388,3.9,12.5,8,10.6,1.4,2.7,13,20.6,0.1,0.8,0.9,0.04,-2,-0.8,-2.8,-0.2,,clownno01
73,Kris Dunn,31,LAC,PG,40,34,1082,11.4,0.593,0.488,0.161,3.5,8.5,6.1,16,2.8,0.5,15.8,13,0.9,0.8,1.8,0.078,-2.1,0.9,-1.2,0.2,,dunnkr01
74,Bub Carrington,20,WAS,PG,39,12,1074,8.7,0.533,0.575,0.166,1.5,13.2,7.4,22.1,0.8,0.7,19.7,16.6,-0.3,0,-0.3,-0.012,-2.7,-2.2,-4.9,-0.8,,carrica01
75,Saddiq Bey,26,NOP,SF,36,28,1074,15.9,0.554,0.421,0.285,5.9,15.4,10.5,10.9,1.5,0.2,4.1,19.7,1.8,0.4,2.2,0.098,1.5,-1.9,-0.5,0.4,,beysa01
76,Jaylen Wells,22,MEM,SG,39,39,1072,10.2,0.53,0.519,0.259,3.6,10,6.8,9.4,1.5,0.3,9,18.7,0.2,1,1.1,0.051,-2.8,-0.5,-3.3,-0.4,,wellsja01
77,Nic Claxton,26,BRK,C,36,35,1070,19,0.609,0.037,0.435,9.8,19.6,14.5,22,1.2,4.1,12.3,17.8,2.3,1.1,3.4,0.152,1.1,1.2,2.3,1.2,,claxtni01
78,Jaime Jaquez Jr.,24,MIA,SF,37,1,1066,15.9,0.581,0.138,0.283,4.4,14,9.2,23.5,1.3,0.7,13.8,22.4,1,1.2,2.2,0.101,0,0.5,0.4,0.6,,jaqueja01
79,Ivica Zubac,28,LAC,C,34,33,1064,19.2,0.63,0,0.287,13.3,26.2,19.9,12.8,0.7,2.9,14.2,19.5,2.1,1,3.1,0.141,1,-0.8,0.2,0.6,,zubaciv01
80,Norman Powell,32,MIA,SG,34,34,1048,19.4,0.63,0.449,0.345,1.2,11.4,6.3,13.3,1.9,0.6,9.4,27.6,1.9,1.3,3.1,0.143,3,0.4,3.4,1.4,,powelno01
81,Cason Wallace,22,OKC,SG,39,32,1047,10.6,0.523,0.563,0.084,3.6,8.6,6.2,9.8,3.9,0.9,11.4,12.7,0.2,2.3,2.4,0.111,-2.7,3.3,0.6,0.7,,wallaca01
82,Duncan Robinson,31,DET,SF,36,36,1047,11.2,0.608,0.793,0.167,1.3,9.3,5.3,8.7,1.2,1,6.7,14.6,1.6,1.1,2.7,0.124,-0.1,-0.1,-0.2,0.5,,robindu01
83,Dillon Brooks,30,PHO,SF,34,34,1047,14.8,0.565,0.419,0.208,2.5,9.6,6,9.2,1.9,0.2,9.7,28.3,0.6,1,1.6,0.074,-0.6,-0.9,-1.6,0.1,,brookdi01
84,John Collins,28,LAC,PF,38,29,1044,15.4,0.643,0.34,0.231,6.1,14.9,10.6,4.9,1.6,3.2,12.3,18.7,1.3,0.9,2.1,0.098,-0.3,-0.4,-0.7,0.4,,collijo01
85,Jake LaRavia,24,LAL,PF,38,17,1036,12.8,0.576,0.467,0.26,7,11.2,9.2,9.9,2.4,1.4,11,15.1,1.1,0.9,2,0.093,-0.8,0,-0.8,0.3,,laravja01
86,Alperen Şengün,23,HOU,C,30,30,1033,22.4,0.57,0.14,0.363,9.5,19.4,14.5,29.2,2.1,2.6,14.4,26.9,2.3,1.5,3.9,0.18,3.9,1.6,5.4,1.9,,sengual01
87,Ajay Mitchell,23,OKC,SG,39,8,1027,17.3,0.584,0.298,0.303,3,11.1,7.2,19.3,2.6,1.3,10.8,22.2,1.5,2,3.5,0.165,0.4,1.6,2,1,,mitchaj01
88,Michael Porter Jr.,27,BRK,SF,31,31,1026,21.8,0.623,0.507,0.238,4.4,22.5,13,19.2,1.5,0.6,11,30.3,1.8,1,2.7,0.127,5.5,-0.7,4.8,1.8,,portemi01
89,Sion James,23,CHO,SG,40,16,1024,8.7,0.579,0.61,0.333,2.4,12.3,7.5,9.8,1.2,1.5,12.9,10.5,0.8,0.7,1.5,0.07,-2.6,0.3,-2.3,-0.1,,jamessi01
90,Devin Vassell,25,SAS,SG,32,32,1020,12.8,0.561,0.563,0.171,1.6,11.9,6.8,10.6,1.4,1.3,6.6,18.9,1,1.2,2.2,0.103,-0.2,0,-0.2,0.5,,vassede01
91,Andrew Nembhard,26,IND,PG,32,32,1014,15.7,0.557,0.361,0.307,1.2,7.9,4.4,35.5,1.5,0.4,12.4,23.7,1.1,0.6,1.7,0.081,0.9,-1.8,-0.9,0.3,,nembhan01
92,Chet Holmgren,23,OKC,PF,35,35,1013,21.4,0.661,0.311,0.335,7.1,24.1,15.9,8.1,0.9,6.5,11.6,22.7,2.1,2.3,4.5,0.211,2.1,1.5,3.6,1.4,,holmgch01
93,Kawhi Leonard,34,LAC,SF,30,30,1013,27.3,0.633,0.371,0.319,3.2,18,10.8,19.5,3.3,1.8,8.7,32.2,3,1.3,4.3,0.202,7.1,1.1,8.1,2.6,,leonaka01
94,Bruce Brown,29,DEN,SG,41,2,1012,9.9,0.526,0.24,0.24,5.5,13.5,9.7,11,1.9,0.8,13.5,13.7,0.4,0.8,1.2,0.056,-3,-0.4,-3.3,-0.3,,brownbr01
95,Paolo Banchero,23,ORL,PF,30,30,1012,17,0.549,0.229,0.498,3,25.3,14.1,22.4,0.9,1.9,13.1,27.2,0.5,1.3,1.8,0.084,0.5,0.4,1,0.8,,banchpa01
96,De'Aaron Fox,28,SAS,PG,31,31,1010,17.9,0.569,0.38,0.264,2.6,11.2,6.9,27.7,1.9,0.7,12,26.4,1.3,1.3,2.6,0.124,1.7,0.5,2.3,1.1,,foxde01
97,Donovan Clingan,21,POR,C,37,37,1002,19.3,0.616,0.357,0.296,17.3,25.4,21.3,10.1,0.9,4.4,10.1,14.8,2.5,1.2,3.7,0.178,2,-0.2,1.8,1,,clingdo01
98,Jaylon Tyson,23,CLE,SG,37,22,997,15.2,0.625,0.431,0.146,7.7,13.7,10.6,10.2,1.8,1.7,11.3,17.7,1.5,1,2.6,0.123,0.4,-0.1,0.2,0.6,,tysonja01
99,Deandre Ayton,27,LAL,C,34,34,996,18.2,0.684,0,0.187,10.7,24,17.6,4.7,1.2,3.2,13.9,17.5,1.7,1.1,2.7,0.132,-0.1,-1,-1.1,0.2,,aytonde01
100,De'Andre Hunter,28,CLE,SF,37,23,992,12.1,0.56,0.491,0.292,2.7,14.9,8.7,11.3,1.1,0.5,11.1,21.8,0.5,0.8,1.3,0.063,-2.1,-1.3,-3.4,-0.3,,huntede01
101,Stephen Curry,37,GSW,PG,31,31,990,23.1,0.635,0.604,0.278,1.5,11.7,6.6,27.7,1.8,1.3,11.4,33,2.4,1.1,3.5,0.168,6.6,-0.7,6,2,,curryst01
102,Kyle Kuzma,30,MIL,PF,38,15,987,13.9,0.59,0.271,0.311,4.2,16.1,10.2,12.4,1.2,1.9,13.2,20.7,0.6,0.8,1.4,0.069,-1.8,-0.8,-2.6,-0.2,,kuzmaky01
103,Bam Adebayo,28,MIA,C,32,32,986,16.2,0.547,0.29,0.304,5.7,26.7,16.3,12.2,1.4,2.4,10.7,22.7,0.3,1.7,2,0.098,-0.1,1,0.9,0.7,,adebaba01
104,Josh Giddey,23,CHI,PG,30,30,984,19.5,0.578,0.338,0.371,3.9,24.7,14.5,39.9,1.3,1,17.7,25.8,1.3,0.9,2.3,0.11,2.8,0.3,3.1,1.3,,giddejo01
105,Kel'el Ware,21,MIA,C,40,27,980,20,0.643,0.331,0.191,13.8,28.6,21.3,3.1,1.7,4.3,9.8,17,1.9,1.9,3.9,0.189,1.9,0.4,2.3,1.1,,wareke01
106,OG Anunoby,28,NYK,PF,30,30,974,14.5,0.586,0.487,0.308,4.5,14.2,9.2,9.1,2.5,2.3,13.1,19.7,0.8,1.1,1.9,0.096,-0.4,0.3,0,0.5,,anunoog01
107,P.J. Washington,27,DAL,PF,31,31,972,13.2,0.539,0.345,0.289,4.8,19.7,12.5,8.7,1.6,3.7,13.7,21.2,-0.6,1.5,0.9,0.045,-2.1,0.9,-1.2,0.2,,washipj01
108,Cedric Coward,22,MEM,SG,36,23,960,15.4,0.587,0.425,0.273,6.2,20.1,13.2,16.3,1,1.1,12.5,20.9,1,1.1,2.2,0.108,0.6,0,0.6,0.6,,cowarce01
109,Stephon Castle,21,SAS,PG,31,31,959,15.4,0.56,0.308,0.491,3.8,13.9,8.9,32.1,2,0.8,19.7,26.1,0.3,1.3,1.6,0.082,-0.6,0.6,0,0.5,,castlst01
110,Zach LaVine,30,SAC,SG,29,28,953,14.5,0.622,0.468,0.249,0.7,10.1,5.3,10.8,1,0.6,11.7,23.8,0.8,0.1,0.9,0.046,0.4,-2.1,-1.7,0.1,,lavinza01
111,Moses Moody,23,GSW,SG,39,28,948,11.6,0.56,0.656,0.193,3.6,10.5,7,9.1,1.8,2.4,9.3,17.7,0.5,1.1,1.6,0.081,-1.2,0,-1.2,0.2,,moodymo01
112,Gary Trent Jr.,27,MIL,SG,38,17,948,8,0.532,0.717,0.113,0.6,5.2,2.9,8.7,1.3,0.2,7,15.4,0,0.4,0.4,0.021,-3.1,-1.5,-4.6,-0.6,,trentga02
113,Jarace Walker,22,IND,PF,41,12,945,8.8,0.501,0.527,0.226,2,18.7,10,11.8,1.4,1.2,14.4,19.3,-1,0.9,-0.2,-0.009,-3.2,-0.6,-3.8,-0.4,,walkeja02
114,Keldon Johnson,26,SAS,SF,40,0,944,19.7,0.665,0.341,0.299,9.1,19.5,14.3,7.9,1.3,0.3,8.5,19.9,2.6,1.3,3.8,0.194,2.9,-0.1,2.8,1.2,,johnske04
115,Kyshawn George,22,WAS,SF,30,30,942,12.8,0.582,0.467,0.207,2.9,15.4,9.2,22.8,1.5,2.4,19.6,21.3,0,0.4,0.4,0.02,-1.2,-0.8,-2,0,,georgky01
116,Reed Sheppard,21,HOU,SG,37,4,941,16.3,0.575,0.576,0.111,1.6,10,5.8,18,2.8,2.1,9.6,20.3,1.8,1.3,3.1,0.158,1.6,1.6,3.2,1.2,,sheppre01
117,Anfernee Simons,26,BOS,SG,39,0,936,14.9,0.581,0.577,0.138,2.3,8.5,5.4,15,0.9,0.4,8.3,22.7,1.7,0.5,2.2,0.111,1.6,-1.6,0,0.5,,simonan01
118,Bobby Portis,30,MIL,PF,40,6,935,16.6,0.588,0.38,0.092,6.5,25,15.8,8.7,1.1,0.7,8.7,22.8,0.7,0.9,1.7,0.086,1.1,-1.7,-0.6,0.3,,portibo01
119,Neemias Queta,26,BOS,C,37,37,919,20.4,0.659,0.016,0.312,14,22.9,18.5,7.9,1.6,5.1,10.1,14.9,2.6,1.4,4,0.207,1,0.9,1.8,0.9,,quetane01
120,Draymond Green,35,GSW,PF,34,34,914,10.4,0.544,0.596,0.176,2.9,21.6,12.1,27.3,1.6,2.6,26.7,17,-0.5,1.4,0.9,0.046,-2.7,1.8,-0.8,0.3,,greendr01
121,Tre Jones,26,CHI,PG,34,19,914,18,0.638,0.213,0.493,2.6,8.6,5.6,28.4,2.3,0.6,12.4,17.3,2.4,0.6,3.1,0.16,0.6,0.4,1,0.7,,jonestr01
122,Vit Krejci,25,ATL,PG,38,5,912,11.9,0.655,0.787,0.119,2.1,8.5,5.3,8.9,1.7,1.2,9,14.7,1.1,0.7,1.8,0.094,-0.9,-0.3,-1.3,0.2,,krejcvi01
123,Josh Hart,30,NYK,SF,30,16,911,16.3,0.61,0.434,0.189,5.7,22.7,14,22.7,2.1,1.1,17.8,17,1.4,1.1,2.5,0.134,1.4,1.5,2.9,1.1,,hartjo01
124,Cam Spencer,25,MEM,SG,38,9,907,17.3,0.664,0.618,0.246,1.8,9.8,5.8,32.2,1.5,0.2,14.1,18.1,2.4,0.8,3.2,0.169,3,0.1,3.1,1.2,,spencca01
125,Jamal Shead,23,TOR,PG,42,4,905,11.6,0.494,0.55,0.232,1.8,7.3,4.5,32.9,2.2,0.6,15.5,16.6,0.5,1,1.5,0.081,-1.8,0.2,-1.6,0.1,,sheadja01
126,Moussa Diabaté,24,CHO,C,37,11,899,18.1,0.649,0,0.603,17.8,21.4,19.7,8.4,1.6,3.7,11.7,12.3,2.4,1.1,3.4,0.182,0.3,0.2,0.6,0.6,,diabamo01
127,Ausar Thompson,23,DET,SF,34,33,897,15,0.534,0.059,0.382,8.6,15.7,12.2,13.9,2.8,3.2,13.3,18.8,0.5,1.7,2.1,0.113,-1.4,2,0.7,0.6,,thompau01
128,Rui Hachimura,27,LAL,PF,28,27,895,11.1,0.627,0.428,0.136,3,10.4,6.8,3.8,0.9,0.6,7.6,14.6,1,0.3,1.3,0.071,-0.8,-2.1,-2.9,-0.2,,hachiru01
129,Ayo Dosunmu,26,CHI,SG,34,7,889,16.5,0.635,0.398,0.218,2.7,8.3,5.6,19.9,1.3,0.8,9.9,20,1.8,0.4,2.2,0.119,1.3,-0.9,0.4,0.5,,dosunay01
130,Zaccharie Risacher,20,ATL,SF,36,36,887,11.8,0.558,0.47,0.157,4.2,10.6,7.4,8,1.7,1.9,8.4,18.6,0.2,0.8,1,0.052,-2.1,-0.9,-3,-0.2,,risacza01
131,Terance Mann,29,BRK,SG,34,33,884,11.5,0.555,0.407,0.252,5.7,9.7,7.6,21,1.5,1,13.2,13.4,1.1,0.5,1.6,0.089,-2,0,-1.9,0,,mannte01
132,Jalen Duren,22,DET,C,31,31,880,23.4,0.667,0,0.499,16.1,25.3,20.8,9.3,1.6,3.1,14.4,22.6,2.3,1.6,4,0.217,2.4,0.1,2.6,1,,durenja01
133,Kris Murray,25,POR,SF,34,11,874,9.2,0.535,0.446,0.24,7.4,9.4,8.4,6.4,2.2,1.4,13.8,10.4,0.4,0.7,1.1,0.061,-2.8,0.7,-2.1,0,,murrakr01
134,Svi Mykhailiuk,28,UTA,SF,35,35,867,10.4,0.607,0.668,0.067,3.3,8.2,5.7,11.3,0.9,0.3,9.7,13.7,0.9,-0.2,0.7,0.038,-0.4,-1.8,-2.1,-0.1,,mykhasv01
135,Kyle Filipowski,22,UTA,C,39,13,858,13.1,0.546,0.339,0.291,7.8,22.4,15,12.9,1.4,2.1,12,18,0.5,0.4,0.9,0.05,-1.8,-1,-2.8,-0.2,,filipky01
136,Cameron Johnson,29,DEN,SF,28,28,857,11.3,0.604,0.514,0.237,2.8,10.1,6.6,10,1,0.8,9.1,15.1,1.1,0.4,1.4,0.081,-0.5,-1.7,-2.2,0,,johnsca02
137,Sandro Mamukelashvili,26,TOR,C,40,8,854,17.3,0.617,0.434,0.217,7.8,17.7,12.7,12.6,1.5,2.8,8.8,18.1,1.6,1.2,2.8,0.158,1.4,0.6,2,0.9,,mamuksa01
