Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
433,Eric Gordon,37,PHI,SG,6,0,74,14.4,0.754,0.667,0.095,1.5,1.5,1.5,5.9,2.6,1.2,12.1,14.1,0.1,0.1,0.2,0.124,2.1,0.3,2.4,0.1,,gordoer01
434,A.J. Lawson,25,TOR,SG,7,0,73,14.3,0.54,0.545,0.152,6,18.5,12.2,2,2,4,2.8,21.1,0.1,0.1,0.2,0.117,-0.7,0.2,-0.5,0,,lawsoaj01
435,Alijah Martin,24,TOR,SG,7,0,73,11.5,0.436,0.455,0.455,9,9.3,9.1,10.5,3.3,4,10.2,17.1,0,0.1,0.1,0.062,-3,1.7,-1.2,0,,martial01
436,Anthony Gill,33,WAS,PF,18,0,71,13.9,0.816,0.313,0.25,7.4,14.7,11.1,0,0.7,2.5,22,13.4,0.1,0,0.1,0.071,-0.7,-2.6,-3.3,0,,gillan01
437,Doug McDermott,34,SAC,SF,7,0,70,4.4,0.522,1,0,0,8.2,4,3.9,0,1.3,11.5,15.9,-0.1,0,-0.1,-0.054,-4,-3.2,-7.2,-0.1,,mcderdo01
438,Myron Gardner,24,MIA,SF,13,0,68,15,0.504,0.538,0.154,15.3,13.6,14.5,9.6,3.4,1.3,3.5,17.2,0.1,0.1,0.2,0.162,-1.7,2,0.3,0,,gardnmy01
439,David Jones García,24,SAS,SF,11,0,68,21.2,0.579,0.2,0.24,6.4,14.1,10.3,38.8,4.2,1.3,15.3,20.2,0.1,0.1,0.3,0.2,2.7,3.6,6.3,0.1,,jonesda06
440,Lachlan Olbrich,22,CHI,C,8,0,66,0.2,0.202,0.444,0.222,9.8,20.5,15.3,12.3,0,0,28.8,8.8,-0.1,0,-0.1,-0.062,-10.1,-0.6,-10.7,-0.1,,olbrila01
441,Elijah Harkless,25,UTA,SG,7,0,66,7.5,0.568,0.636,0.818,3.3,6.7,4.9,9.4,2.9,0,16.7,11.2,0,0,0,0.035,-4.8,1.6,-3.2,0,,harklej01
442,Bismack Biyombo,33,SAS,C,11,1,65,5.2,0.654,0,0.333,3.3,8.2,5.8,5.7,2.2,1.4,30.4,6.4,0,0.1,0.1,0.062,-5.4,1.7,-3.7,0,,biyombi01
443,Monte Morris,30,IND,PG,6,0,65,7.1,0.414,0.4,0.2,1.6,10.3,5.8,19.5,0.7,1.4,8.4,15.4,-0.1,0,0,-0.017,-4.6,-1.5,-6.1,-0.1,,morrimo01
444,Drew Peterson,26,CHO,PF,6,0,64,0.6,0.148,0.75,0.125,5.4,10.4,8,3.8,2.3,1.4,0,11.1,-0.2,0.1,-0.1,-0.097,-8.4,-1.9,-10.3,-0.1,,peterdr01
445,Jeff Green,39,HOU,PF,14,0,63,12,0.63,0.696,0,1.8,8.8,5.3,4.4,0,1.5,4.2,15.9,0.1,0,0.2,0.128,0.6,-2.3,-1.7,0,,greenje02
446,Johnny Juzang,24,MIN,SG,16,0,62,16.1,0.549,0.613,0.129,7.3,13.9,10.7,14.4,1.5,0,8.4,24.3,0.1,0.1,0.1,0.1,0.5,-1.1,-0.6,0,,juzanjo01
447,James Wiseman,24,IND,C,4,1,58,4.2,0.597,0,0.2,8.9,5.8,7.4,7.2,0,1.5,31.5,11.6,0,0,0,-0.019,-8,-1,-8.9,-0.1,,wisemja01
448,Tolu Smith,25,DET,PF,5,0,55,23.3,0.602,0,1,20.3,35.9,28.2,9.5,1.7,9,15.6,19.1,0.1,0.1,0.3,0.244,1.7,3.2,5,0.1,,smithto05
449,Cody Martin,30,IND,SF,4,0,55,3.1,0.277,0.5,0.6,1.9,26.4,13.6,4.6,3.5,3.2,24,12.8,-0.2,0.1,-0.1,-0.092,-10.1,2.2,-7.9,-0.1,,martico01
450,Joe Ingles,38,MIN,SF,13,0,54,9,0.595,0.8,0.4,0,10,5.1,23.7,5.3,0,46,8.5,0,0.1,0.1,0.081,-4.5,4.7,0.1,0,,inglejo01
451,Kam Jones,23,IND,SG,10,0,53,11.6,0.559,0.353,0,1.9,6.3,4,17.4,1.8,0,5.6,14.3,0.1,0,0.1,0.075,-2.5,-0.8,-3.3,0,,joneska03
452,Bobi Klintman,22,DET,SF,6,0,53,4.1,0.381,0.524,0.143,10.5,22.8,16.7,9.9,1.8,0,18.3,21.1,-0.2,0.1,-0.1,-0.063,-8.5,-1.9,-10.4,-0.1,,klintbo01
453,Antonio Reeves,25,CHO,SG,6,0,53,12.1,0.656,0.625,0,2.2,8.4,5.3,5.4,0.9,0,0,12.7,0.1,0,0.1,0.114,0.1,0.3,0.3,0,,reevean01
