Rank,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,Shai Gilgeous-Alexander,26.0,OKC,PG,63.0,63.0,2158.0,711.0,1354.0,0.525,136.0,365.0,0.373,575.0,989.0,0.581,0.575,505.0,561.0,0.9,58.0,264.0,322.0,391.0,113.0,67.0,160.0,142.0,2063.0,0.0,
2.0,Anthony Edwards,23.0,MIN,SG,63.0,63.0,2296.0,566.0,1282.0,0.441,257.0,633.0,0.406,309.0,649.0,0.476,0.542,324.0,388.0,0.835,49.0,328.0,377.0,289.0,72.0,38.0,207.0,116.0,1713.0,0.0,
3.0,Nikola Jokić,29.0,DEN,C,59.0,59.0,2148.0,653.0,1132.0,0.577,114.0,265.0,0.43,539.0,867.0,0.622,0.627,284.0,351.0,0.809,172.0,596.0,768.0,619.0,104.0,40.0,193.0,132.0,1704.0,29.0,
4.0,Jayson Tatum,26.0,BOS,PF,60.0,60.0,2192.0,554.0,1218.0,0.455,217.0,612.0,0.355,337.0,606.0,0.556,0.544,304.0,378.0,0.804,40.0,491.0,531.0,349.0,68.0,32.0,175.0,134.0,1629.0,2.0,
5.0,Jalen Brunson,28.0,NYK,PG,61.0,61.0,2162.0,558.0,1138.0,0.49,140.0,365.0,0.384,418.0,773.0,0.541,0.552,350.0,424.0,0.825,25.0,156.0,181.0,452.0,58.0,6.0,153.0,132.0,1606.0,0.0,
6.0,Giannis Antetokounmpo,30.0,MIL,PF,51.0,51.0,1730.0,627.0,1037.0,0.605,8.0,42.0,0.19,619.0,995.0,0.622,0.608,313.0,526.0,0.595,119.0,495.0,614.0,298.0,40.0,61.0,168.0,125.0,1575.0,6.0,
7.0,Cade Cunningham,23.0,DET,PG,60.0,60.0,2118.0,570.0,1230.0,0.463,134.0,371.0,0.361,436.0,859.0,0.508,0.518,264.0,308.0,0.857,47.0,317.0,364.0,555.0,62.0,45.0,274.0,163.0,1538.0,8.0,
8.0,Devin Booker,28.0,PHO,SG,59.0,59.0,2210.0,508.0,1112.0,0.457,157.0,455.0,0.345,351.0,657.0,0.534,0.527,359.0,402.0,0.893,58.0,183.0,241.0,404.0,62.0,14.0,167.0,158.0,1532.0,0.0,
9.0,Donovan Mitchell,28.0,CLE,SG,60.0,60.0,1875.0,502.0,1113.0,0.451,208.0,541.0,0.384,294.0,572.0,0.514,0.544,240.0,293.0,0.819,44.0,216.0,260.0,285.0,79.0,12.0,125.0,118.0,1452.0,0.0,
10.0,Tyler Herro,25.0,MIA,SG,61.0,61.0,2173.0,507.0,1106.0,0.458,215.0,581.0,0.37,292.0,525.0,0.556,0.556,222.0,259.0,0.857,23.0,305.0,328.0,347.0,50.0,13.0,158.0,77.0,1451.0,0.0,
11.0,LeBron James,40.0,LAL,SF,58.0,58.0,2023.0,555.0,1073.0,0.517,132.0,344.0,0.384,423.0,729.0,0.58,0.579,208.0,270.0,0.77,59.0,417.0,476.0,495.0,52.0,35.0,226.0,85.0,1450.0,10.0,
12.0,Trae Young,26.0,ATL,PG,60.0,60.0,2172.0,441.0,1091.0,0.404,168.0,517.0,0.325,273.0,574.0,0.476,0.481,379.0,437.0,0.867,26.0,159.0,185.0,692.0,68.0,11.0,287.0,122.0,1429.0,0.0,
13.0,De'Aaron Fox,27.0,2TM,PG,61.0,61.0,2200.0,527.0,1138.0,0.463,116.0,374.0,0.31,411.0,764.0,0.538,0.514,257.0,312.0,0.824,52.0,237.0,289.0,381.0,90.0,25.0,171.0,159.0,1427.0,0.0,
13.0,De'Aaron Fox,27.0,SAC,PG,45.0,45.0,1663.0,414.0,883.0,0.469,92.0,286.0,0.322,322.0,597.0,0.539,0.521,204.0,246.0,0.829,45.0,180.0,225.0,276.0,66.0,20.0,133.0,118.0,1124.0,0.0,
13.0,De'Aaron Fox,27.0,SAS,PG,16.0,16.0,537.0,113.0,255.0,0.443,24.0,88.0,0.273,89.0,167.0,0.533,0.49,53.0,66.0,0.803,7.0,57.0,64.0,105.0,24.0,5.0,38.0,41.0,303.0,0.0,
14.0,Kevin Durant,36.0,PHO,PF,52.0,52.0,1930.0,507.0,962.0,0.527,130.0,318.0,0.409,377.0,644.0,0.585,0.595,257.0,309.0,0.832,20.0,299.0,319.0,226.0,44.0,68.0,157.0,90.0,1401.0,0.0,
15.0,Karl-Anthony Towns,29.0,NYK,C,57.0,57.0,1998.0,497.0,951.0,0.523,117.0,278.0,0.421,380.0,673.0,0.565,0.584,271.0,325.0,0.834,173.0,583.0,756.0,176.0,57.0,42.0,147.0,202.0,1382.0,0.0,
16.0,Stephen Curry,36.0,GSW,PG,56.0,56.0,1803.0,452.0,1008.0,0.448,251.0,630.0,0.398,201.0,378.0,0.532,0.573,218.0,233.0,0.936,32.0,214.0,246.0,344.0,60.0,23.0,162.0,74.0,1373.0,0.0,
17.0,Tyrese Maxey,24.0,PHI,PG,52.0,52.0,1960.0,477.0,1091.0,0.437,161.0,478.0,0.337,316.0,613.0,0.515,0.511,254.0,289.0,0.879,15.0,159.0,174.0,317.0,91.0,21.0,124.0,116.0,1369.0,1.0,
18.0,Jalen Green,22.0,HOU,SG,65.0,65.0,2154.0,484.0,1142.0,0.424,189.0,533.0,0.355,295.0,609.0,0.484,0.507,208.0,251.0,0.829,35.0,253.0,288.0,212.0,54.0,19.0,167.0,104.0,1365.0,0.0,
19.0,Zach LaVine,29.0,2TM,SF,57.0,57.0,1984.0,491.0,959.0,0.512,181.0,414.0,0.437,310.0,545.0,0.569,0.606,195.0,237.0,0.823,16.0,248.0,264.0,247.0,52.0,12.0,162.0,82.0,1358.0,0.0,
19.0,Zach LaVine,29.0,CHI,SF,42.0,42.0,1432.0,363.0,710.0,0.511,136.0,305.0,0.446,227.0,405.0,0.56,0.607,145.0,182.0,0.797,12.0,190.0,202.0,189.0,39.0,10.0,121.0,64.0,1007.0,0.0,
19.0,Zach LaVine,29.0,SAC,SG,15.0,15.0,552.0,128.0,249.0,0.514,45.0,109.0,0.413,83.0,140.0,0.593,0.604,50.0,55.0,0.909,4.0,58.0,62.0,58.0,13.0,2.0,41.0,18.0,351.0,0.0,
20.0,James Harden,35.0,LAC,PG,61.0,61.0,2131.0,396.0,1005.0,0.394,180.0,530.0,0.34,216.0,475.0,0.455,0.484,385.0,441.0,0.873,40.0,313.0,353.0,523.0,90.0,39.0,276.0,125.0,1357.0,2.0,
21.0,Damian Lillard,34.0,MIL,PG,53.0,53.0,1917.0,418.0,922.0,0.453,183.0,484.0,0.378,235.0,438.0,0.537,0.553,331.0,359.0,0.922,28.0,221.0,249.0,375.0,66.0,9.0,154.0,91.0,1350.0,2.0,
22.0,Jaren Jackson Jr.,25.0,MEM,C,59.0,59.0,1732.0,483.0,971.0,0.497,111.0,304.0,0.365,372.0,667.0,0.558,0.555,264.0,342.0,0.772,78.0,267.0,345.0,126.0,74.0,97.0,127.0,199.0,1341.0,0.0,
23.0,DeMar DeRozan,35.0,SAC,SF,59.0,59.0,2120.0,477.0,985.0,0.484,63.0,181.0,0.348,414.0,804.0,0.515,0.516,289.0,329.0,0.878,37.0,200.0,237.0,241.0,56.0,23.0,82.0,115.0,1306.0,0.0,
24.0,Pascal Siakam,30.0,IND,PF,63.0,63.0,2067.0,500.0,959.0,0.521,108.0,270.0,0.4,392.0,689.0,0.569,0.578,196.0,262.0,0.748,107.0,342.0,449.0,207.0,57.0,29.0,83.0,160.0,1304.0,0.0,
25.0,Jalen Williams,23.0,OKC,SG,61.0,61.0,1987.0,493.0,1031.0,0.478,111.0,307.0,0.362,382.0,724.0,0.528,0.532,201.0,254.0,0.791,52.0,281.0,333.0,322.0,101.0,44.0,134.0,144.0,1298.0,0.0,
26.0,Jaylen Brown,28.0,BOS,SF,54.0,54.0,1911.0,466.0,1010.0,0.461,102.0,318.0,0.321,364.0,692.0,0.526,0.512,223.0,294.0,0.759,79.0,250.0,329.0,259.0,68.0,16.0,146.0,135.0,1257.0,0.0,
27.0,Darius Garland,25.0,CLE,PG,60.0,60.0,1817.0,445.0,931.0,0.478,175.0,422.0,0.415,270.0,509.0,0.53,0.572,187.0,213.0,0.878,35.0,119.0,154.0,399.0,67.0,10.0,145.0,122.0,1252.0,0.0,
28.0,Jamal Murray,27.0,DEN,PG,58.0,58.0,2109.0,461.0,971.0,0.475,136.0,343.0,0.397,325.0,628.0,0.518,0.545,191.0,216.0,0.884,37.0,180.0,217.0,351.0,83.0,30.0,122.0,112.0,1249.0,0.0,
29.0,Kyrie Irving,32.0,DAL,SG,50.0,50.0,1804.0,447.0,945.0,0.473,144.0,359.0,0.401,303.0,586.0,0.517,0.549,196.0,214.0,0.916,60.0,180.0,240.0,231.0,66.0,23.0,111.0,101.0,1234.0,0.0,
30.0,Anfernee Simons,25.0,POR,SG,62.0,62.0,2037.0,431.0,996.0,0.433,192.0,518.0,0.371,239.0,478.0,0.5,0.529,157.0,173.0,0.908,20.0,150.0,170.0,300.0,54.0,5.0,130.0,105.0,1211.0,0.0,
31.0,Alperen Şengün,22.0,HOU,C,61.0,61.0,1918.0,459.0,921.0,0.498,19.0,80.0,0.238,440.0,841.0,0.523,0.509,234.0,339.0,0.69,205.0,430.0,635.0,299.0,70.0,49.0,159.0,175.0,1171.0,3.0,
32.0,Michael Porter Jr.,26.0,DEN,SF,62.0,62.0,2088.0,436.0,857.0,0.509,159.0,394.0,0.404,277.0,463.0,0.598,0.602,113.0,152.0,0.743,113.0,316.0,429.0,131.0,38.0,28.0,81.0,119.0,1144.0,0.0,
33.0,Franz Wagner,23.0,ORL,SF,46.0,46.0,1547.0,416.0,896.0,0.464,82.0,271.0,0.303,334.0,625.0,0.534,0.51,213.0,250.0,0.852,45.0,210.0,255.0,217.0,63.0,19.0,103.0,120.0,1127.0,0.0,
34.0,Jordan Poole,25.0,WAS,SG,53.0,53.0,1649.0,367.0,865.0,0.424,186.0,497.0,0.374,181.0,368.0,0.492,0.532,203.0,231.0,0.879,27.0,144.0,171.0,250.0,75.0,25.0,171.0,169.0,1123.0,0.0,
35.0,Victor Wembanyama,21.0,SAS,C,46.0,46.0,1527.0,408.0,857.0,0.476,142.0,403.0,0.352,266.0,454.0,0.586,0.559,158.0,189.0,0.836,82.0,424.0,506.0,168.0,52.0,176.0,149.0,105.0,1116.0,1.0,
36.0,Coby White,24.0,CHI,SG,58.0,57.0,1909.0,376.0,862.0,0.436,174.0,480.0,0.363,202.0,382.0,0.529,0.537,181.0,201.0,0.9,19.0,182.0,201.0,260.0,58.0,12.0,135.0,125.0,1107.0,0.0,
37.0,Anthony Davis,31.0,2TM,PF,43.0,43.0,1471.0,410.0,776.0,0.528,30.0,96.0,0.313,380.0,680.0,0.559,0.548,257.0,327.0,0.786,123.0,392.0,515.0,148.0,54.0,93.0,94.0,82.0,1107.0,0.0,
37.0,Anthony Davis,31.0,LAL,C,42.0,42.0,1440.0,400.0,758.0,0.528,28.0,94.0,0.298,372.0,664.0,0.56,0.546,253.0,321.0,0.788,119.0,380.0,499.0,141.0,54.0,90.0,93.0,82.0,1081.0,0.0,
37.0,Anthony Davis,31.0,DAL,PF,1.0,1.0,31.0,10.0,18.0,0.556,2.0,2.0,1.0,8.0,16.0,0.5,0.611,4.0,6.0,0.667,4.0,12.0,16.0,7.0,0.0,3.0,1.0,0.0,26.0,0.0,
38.0,Bam Adebayo,27.0,MIA,C,62.0,62.0,2141.0,427.0,872.0,0.49,52.0,167.0,0.311,375.0,705.0,0.532,0.519,200.0,266.0,0.752,156.0,466.0,622.0,270.0,77.0,42.0,132.0,135.0,1106.0,1.0,
39.0,Mikal Bridges,28.0,NYK,SF,64.0,64.0,2420.0,456.0,927.0,0.492,135.0,387.0,0.349,321.0,540.0,0.594,0.565,56.0,74.0,0.757,58.0,144.0,202.0,222.0,60.0,36.0,94.0,92.0,1103.0,0.0,
40.0,RJ Barrett,24.0,TOR,SF,51.0,51.0,1687.0,411.0,871.0,0.472,97.0,269.0,0.361,314.0,602.0,0.522,0.528,181.0,279.0,0.649,53.0,281.0,334.0,289.0,41.0,15.0,152.0,125.0,1100.0,2.0,
41.0,Norman Powell,31.0,LAC,SG,46.0,46.0,1520.0,380.0,769.0,0.494,151.0,356.0,0.424,229.0,413.0,0.554,0.592,183.0,223.0,0.821,17.0,144.0,161.0,101.0,60.0,8.0,93.0,86.0,1094.0,0.0,
42.0,Domantas Sabonis,28.0,SAC,C,56.0,56.0,1974.0,430.0,722.0,0.596,57.0,132.0,0.432,373.0,590.0,0.632,0.635,177.0,237.0,0.747,221.0,571.0,792.0,345.0,34.0,22.0,167.0,191.0,1094.0,8.0,
43.0,Tyrese Haliburton,24.0,IND,PG,59.0,59.0,2007.0,382.0,817.0,0.468,180.0,462.0,0.39,202.0,355.0,0.569,0.578,149.0,173.0,0.861,33.0,172.0,205.0,526.0,86.0,37.0,102.0,78.0,1093.0,0.0,
