Rank,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
44.0,Nikola Vučević,34.0,CHI,C,57.0,56.0,1823.0,442.0,828.0,0.534,100.0,257.0,0.389,342.0,571.0,0.599,0.594,98.0,120.0,0.817,133.0,453.0,586.0,191.0,49.0,37.0,98.0,137.0,1082.0,1.0,
45.0,Malik Beasley,28.0,DET,SG,65.0,14.0,1787.0,374.0,850.0,0.44,255.0,611.0,0.417,119.0,239.0,0.498,0.59,70.0,107.0,0.654,36.0,142.0,178.0,108.0,64.0,4.0,68.0,101.0,1073.0,0.0,
46.0,Trey Murphy III,24.0,NOP,SF,49.0,47.0,1746.0,361.0,792.0,0.456,150.0,416.0,0.361,211.0,376.0,0.561,0.551,194.0,220.0,0.882,45.0,208.0,253.0,180.0,54.0,38.0,95.0,104.0,1066.0,0.0,
47.0,Miles Bridges,26.0,CHO,PF,50.0,50.0,1623.0,382.0,871.0,0.439,115.0,353.0,0.326,267.0,518.0,0.515,0.505,180.0,205.0,0.878,58.0,333.0,391.0,189.0,38.0,34.0,106.0,80.0,1059.0,1.0,
48.0,Evan Mobley,23.0,CLE,PF,57.0,57.0,1719.0,405.0,716.0,0.566,61.0,167.0,0.365,344.0,549.0,0.627,0.608,184.0,248.0,0.742,131.0,400.0,531.0,174.0,49.0,89.0,114.0,117.0,1055.0,0.0,
49.0,Austin Reaves,26.0,LAL,SG,56.0,56.0,1925.0,333.0,762.0,0.437,141.0,392.0,0.36,192.0,370.0,0.519,0.53,244.0,281.0,0.868,50.0,192.0,242.0,329.0,61.0,16.0,135.0,112.0,1051.0,1.0,
50.0,CJ McCollum,33.0,NOP,PG,49.0,49.0,1615.0,393.0,876.0,0.449,151.0,399.0,0.378,242.0,477.0,0.507,0.535,112.0,154.0,0.727,36.0,147.0,183.0,189.0,35.0,24.0,89.0,108.0,1049.0,0.0,
51.0,LaMelo Ball,23.0,CHO,PG,41.0,41.0,1324.0,361.0,896.0,0.403,157.0,474.0,0.331,204.0,422.0,0.483,0.491,169.0,204.0,0.828,41.0,175.0,216.0,289.0,49.0,12.0,145.0,138.0,1048.0,0.0,
52.0,Derrick White,30.0,BOS,SG,62.0,62.0,2092.0,349.0,784.0,0.445,216.0,556.0,0.388,133.0,228.0,0.583,0.583,113.0,132.0,0.856,53.0,212.0,265.0,272.0,57.0,65.0,97.0,111.0,1027.0,0.0,
53.0,Shaedon Sharpe,21.0,POR,SG,58.0,38.0,1756.0,378.0,841.0,0.449,113.0,357.0,0.317,265.0,484.0,0.548,0.517,142.0,178.0,0.798,48.0,185.0,233.0,153.0,44.0,14.0,113.0,102.0,1011.0,0.0,
54.0,Scottie Barnes,23.0,TOR,PF,51.0,51.0,1739.0,377.0,852.0,0.442,62.0,236.0,0.263,315.0,616.0,0.511,0.479,186.0,239.0,0.778,87.0,314.0,401.0,306.0,76.0,55.0,146.0,98.0,1002.0,1.0,
55.0,Julius Randle,30.0,MIN,PF,53.0,53.0,1726.0,346.0,737.0,0.469,77.0,243.0,0.317,269.0,494.0,0.545,0.522,224.0,273.0,0.821,118.0,267.0,385.0,250.0,36.0,12.0,150.0,133.0,993.0,0.0,
56.0,Desmond Bane,26.0,MEM,SG,53.0,52.0,1672.0,369.0,758.0,0.487,114.0,306.0,0.373,255.0,452.0,0.564,0.562,140.0,159.0,0.881,50.0,280.0,330.0,289.0,63.0,24.0,135.0,129.0,992.0,1.0,
57.0,Ivica Zubac,27.0,LAC,C,62.0,62.0,2017.0,439.0,712.0,0.617,0.0,0.0,,439.0,712.0,0.617,0.617,112.0,176.0,0.636,227.0,550.0,777.0,155.0,48.0,71.0,100.0,134.0,990.0,0.0,
58.0,Christian Braun,23.0,DEN,SG,64.0,62.0,2141.0,380.0,668.0,0.569,70.0,181.0,0.387,310.0,487.0,0.637,0.621,150.0,180.0,0.833,80.0,246.0,326.0,152.0,71.0,35.0,61.0,141.0,980.0,0.0,
59.0,Naz Reid,25.0,MIN,C,65.0,17.0,1822.0,360.0,774.0,0.465,151.0,385.0,0.392,209.0,389.0,0.537,0.563,99.0,125.0,0.792,75.0,324.0,399.0,143.0,48.0,62.0,85.0,159.0,970.0,0.0,
60.0,OG Anunoby,27.0,NYK,PF,58.0,58.0,2124.0,356.0,757.0,0.47,128.0,351.0,0.365,228.0,406.0,0.562,0.555,119.0,149.0,0.799,79.0,197.0,276.0,125.0,82.0,50.0,79.0,133.0,959.0,0.0,
61.0,Malik Monk,26.0,SAC,SG,53.0,40.0,1718.0,346.0,786.0,0.44,117.0,360.0,0.325,229.0,426.0,0.538,0.515,129.0,148.0,0.872,22.0,178.0,200.0,310.0,53.0,33.0,123.0,137.0,938.0,0.0,
62.0,Bennedict Mathurin,22.0,IND,SF,57.0,45.0,1758.0,324.0,688.0,0.471,81.0,230.0,0.352,243.0,458.0,0.531,0.53,195.0,236.0,0.826,70.0,241.0,311.0,111.0,34.0,22.0,108.0,133.0,924.0,0.0,
63.0,Luka Dončić,25.0,2TM,PG,34.0,34.0,1194.0,309.0,699.0,0.442,112.0,327.0,0.343,197.0,372.0,0.53,0.522,183.0,241.0,0.759,28.0,256.0,284.0,268.0,66.0,14.0,125.0,90.0,913.0,5.0,
63.0,Luka Dončić,25.0,DAL,PG,22.0,22.0,785.0,216.0,466.0,0.464,75.0,212.0,0.354,141.0,254.0,0.555,0.544,112.0,146.0,0.767,16.0,167.0,183.0,172.0,44.0,9.0,75.0,58.0,619.0,3.0,
63.0,Luka Dončić,25.0,LAL,PG,12.0,12.0,409.0,93.0,233.0,0.399,37.0,115.0,0.322,56.0,118.0,0.475,0.479,71.0,95.0,0.747,12.0,89.0,101.0,96.0,22.0,5.0,50.0,32.0,294.0,2.0,
64.0,Cameron Johnson,28.0,BRK,PF,48.0,48.0,1525.0,300.0,633.0,0.474,141.0,352.0,0.401,159.0,281.0,0.566,0.585,168.0,191.0,0.88,43.0,157.0,200.0,145.0,44.0,21.0,79.0,88.0,909.0,0.0,
65.0,Payton Pritchard,27.0,BOS,PG,64.0,0.0,1796.0,318.0,672.0,0.473,210.0,500.0,0.42,108.0,172.0,0.628,0.629,60.0,70.0,0.857,84.0,156.0,240.0,222.0,55.0,13.0,59.0,98.0,906.0,0.0,
66.0,Collin Sexton,26.0,UTA,SG,50.0,48.0,1407.0,320.0,678.0,0.472,91.0,225.0,0.404,229.0,453.0,0.506,0.539,175.0,197.0,0.888,51.0,89.0,140.0,211.0,34.0,5.0,130.0,109.0,906.0,0.0,
67.0,Deni Avdija,24.0,POR,SF,60.0,42.0,1726.0,298.0,638.0,0.467,88.0,257.0,0.342,210.0,381.0,0.551,0.536,221.0,286.0,0.773,75.0,318.0,393.0,215.0,57.0,30.0,150.0,143.0,905.0,1.0,
68.0,Andrew Wiggins,29.0,2TM,SF,51.0,51.0,1571.0,310.0,708.0,0.438,109.0,296.0,0.368,201.0,412.0,0.488,0.515,174.0,222.0,0.784,79.0,157.0,236.0,125.0,47.0,41.0,76.0,82.0,903.0,0.0,
68.0,Andrew Wiggins,29.0,GSW,SF,43.0,43.0,1296.0,261.0,588.0,0.444,94.0,248.0,0.379,167.0,340.0,0.491,0.524,139.0,179.0,0.777,66.0,131.0,197.0,102.0,40.0,33.0,56.0,70.0,755.0,0.0,
68.0,Andrew Wiggins,29.0,MIA,SF,8.0,8.0,275.0,49.0,120.0,0.408,15.0,48.0,0.313,34.0,72.0,0.472,0.471,35.0,43.0,0.814,13.0,26.0,39.0,23.0,7.0,8.0,20.0,12.0,148.0,0.0,
69.0,Keyonte George,21.0,UTA,PG,53.0,32.0,1665.0,287.0,729.0,0.394,140.0,408.0,0.343,147.0,321.0,0.458,0.49,179.0,225.0,0.796,21.0,180.0,201.0,313.0,38.0,9.0,148.0,89.0,893.0,0.0,
70.0,Kelly Oubre Jr.,29.0,PHI,SF,59.0,56.0,2053.0,343.0,729.0,0.471,71.0,240.0,0.296,272.0,489.0,0.556,0.519,136.0,179.0,0.76,95.0,268.0,363.0,108.0,89.0,29.0,80.0,178.0,893.0,0.0,
71.0,Ja Morant,25.0,MEM,PG,41.0,41.0,1224.0,304.0,694.0,0.438,61.0,216.0,0.282,243.0,478.0,0.508,0.482,219.0,262.0,0.836,25.0,141.0,166.0,306.0,51.0,11.0,157.0,92.0,888.0,1.0,
72.0,Josh Hart,29.0,NYK,SG,61.0,61.0,2307.0,339.0,622.0,0.545,67.0,199.0,0.337,272.0,423.0,0.643,0.599,140.0,176.0,0.795,131.0,463.0,594.0,339.0,88.0,22.0,127.0,159.0,885.0,7.0,
73.0,De'Andre Hunter,27.0,2TM,SF,49.0,7.0,1363.0,280.0,598.0,0.468,125.0,303.0,0.413,155.0,295.0,0.525,0.573,188.0,220.0,0.855,35.0,162.0,197.0,72.0,34.0,9.0,68.0,115.0,873.0,0.0,
73.0,De'Andre Hunter,27.0,ATL,SF,37.0,4.0,1064.0,227.0,492.0,0.461,97.0,247.0,0.393,130.0,245.0,0.531,0.56,151.0,176.0,0.858,27.0,118.0,145.0,57.0,31.0,5.0,59.0,88.0,702.0,0.0,
73.0,De'Andre Hunter,27.0,CLE,SF,12.0,3.0,299.0,53.0,106.0,0.5,28.0,56.0,0.5,25.0,50.0,0.5,0.632,37.0,44.0,0.841,8.0,44.0,52.0,15.0,3.0,4.0,9.0,27.0,171.0,0.0,
74.0,Myles Turner,28.0,IND,C,56.0,56.0,1722.0,305.0,641.0,0.476,122.0,302.0,0.404,183.0,339.0,0.54,0.571,137.0,177.0,0.774,65.0,297.0,362.0,91.0,48.0,104.0,100.0,149.0,869.0,0.0,
75.0,Jarrett Allen,26.0,CLE,C,64.0,64.0,1827.0,352.0,501.0,0.703,0.0,3.0,0.0,352.0,498.0,0.707,0.703,154.0,205.0,0.751,170.0,484.0,654.0,125.0,64.0,60.0,75.0,98.0,858.0,0.0,
76.0,Tobias Harris,32.0,DET,PF,61.0,61.0,1960.0,326.0,686.0,0.475,75.0,224.0,0.335,251.0,462.0,0.543,0.53,123.0,141.0,0.872,57.0,313.0,370.0,137.0,54.0,48.0,68.0,115.0,850.0,0.0,
77.0,Dyson Daniels,21.0,ATL,SG,60.0,60.0,2039.0,356.0,733.0,0.486,66.0,188.0,0.351,290.0,545.0,0.532,0.531,70.0,117.0,0.598,94.0,242.0,336.0,250.0,180.0,43.0,113.0,152.0,848.0,0.0,
78.0,Klay Thompson,34.0,DAL,SF,58.0,58.0,1602.0,301.0,724.0,0.416,184.0,461.0,0.399,117.0,263.0,0.445,0.543,56.0,62.0,0.903,39.0,164.0,203.0,119.0,45.0,28.0,76.0,72.0,842.0,0.0,
79.0,Dillon Brooks,29.0,HOU,SF,61.0,61.0,1962.0,303.0,727.0,0.417,150.0,382.0,0.393,153.0,345.0,0.443,0.52,84.0,102.0,0.824,71.0,168.0,239.0,99.0,49.0,13.0,62.0,206.0,840.0,0.0,
80.0,Amen Thompson,22.0,HOU,SF,60.0,33.0,1952.0,331.0,599.0,0.553,20.0,78.0,0.256,311.0,521.0,0.597,0.569,158.0,228.0,0.693,166.0,334.0,500.0,218.0,79.0,75.0,126.0,140.0,840.0,3.0,
81.0,Stephon Castle,20.0,SAS,PG,62.0,29.0,1581.0,303.0,713.0,0.425,70.0,248.0,0.282,233.0,465.0,0.501,0.474,163.0,229.0,0.712,62.0,135.0,197.0,220.0,58.0,14.0,118.0,119.0,839.0,0.0,
82.0,Lauri Markkanen,27.0,UTA,PF,43.0,43.0,1379.0,274.0,644.0,0.425,126.0,363.0,0.347,148.0,281.0,0.527,0.523,156.0,179.0,0.872,71.0,193.0,264.0,67.0,33.0,16.0,59.0,76.0,830.0,0.0,
83.0,Jaden McDaniels,24.0,MIN,PF,66.0,66.0,2149.0,327.0,684.0,0.478,86.0,259.0,0.332,241.0,425.0,0.567,0.541,90.0,108.0,0.833,108.0,281.0,389.0,136.0,96.0,55.0,75.0,189.0,830.0,0.0,
84.0,Josh Giddey,22.0,CHI,PG,60.0,60.0,1781.0,304.0,658.0,0.462,89.0,237.0,0.376,215.0,421.0,0.511,0.53,131.0,166.0,0.789,103.0,357.0,460.0,402.0,65.0,38.0,165.0,104.0,828.0,3.0,
85.0,Dennis Schröder,31.0,3TM,PG,59.0,41.0,1644.0,280.0,673.0,0.416,109.0,310.0,0.352,171.0,363.0,0.471,0.497,124.0,148.0,0.838,19.0,137.0,156.0,313.0,57.0,10.0,122.0,147.0,793.0,0.0,
85.0,Dennis Schröder,31.0,BRK,PG,23.0,23.0,772.0,147.0,325.0,0.452,58.0,150.0,0.387,89.0,175.0,0.509,0.542,72.0,81.0,0.889,4.0,64.0,68.0,152.0,26.0,4.0,59.0,56.0,424.0,0.0,
85.0,Dennis Schröder,31.0,GSW,SG,24.0,18.0,628.0,94.0,251.0,0.375,37.0,115.0,0.322,57.0,136.0,0.419,0.448,29.0,39.0,0.744,10.0,46.0,56.0,105.0,25.0,3.0,48.0,67.0,254.0,0.0,
85.0,Dennis Schröder,31.0,DET,PG,12.0,0.0,244.0,39.0,97.0,0.402,14.0,45.0,0.311,25.0,52.0,0.481,0.474,23.0,28.0,0.821,5.0,27.0,32.0,56.0,6.0,3.0,15.0,24.0,115.0,0.0,
86.0,Bradley Beal,31.0,PHO,SG,45.0,30.0,1470.0,302.0,601.0,0.502,88.0,220.0,0.4,214.0,381.0,0.562,0.576,96.0,118.0,0.814,33.0,126.0,159.0,169.0,47.0,25.0,88.0,116.0,788.0,0.0,
87.0,Paolo Banchero,22.0,ORL,PF,32.0,32.0,1085.0,265.0,602.0,0.44,58.0,183.0,0.317,207.0,419.0,0.494,0.488,189.0,269.0,0.703,34.0,187.0,221.0,152.0,24.0,23.0,95.0,69.0,777.0,0.0,
88.0,Gradey Dick,21.0,TOR,SG,54.0,54.0,1587.0,265.0,647.0,0.41,114.0,326.0,0.35,151.0,321.0,0.47,0.498,133.0,155.0,0.858,44.0,149.0,193.0,98.0,48.0,10.0,83.0,120.0,777.0,0.0,
89.0,Brook Lopez,36.0,MIL,C,62.0,62.0,1961.0,284.0,592.0,0.48,111.0,305.0,0.364,173.0,287.0,0.603,0.573,85.0,101.0,0.842,83.0,227.0,310.0,107.0,41.0,120.0,61.0,136.0,764.0,0.0,
90.0,Devin Vassell,24.0,SAS,SG,48.0,37.0,1468.0,291.0,668.0,0.436,108.0,308.0,0.351,183.0,360.0,0.508,0.516,71.0,91.0,0.78,27.0,149.0,176.0,137.0,61.0,25.0,67.0,78.0,761.0,0.0,
