Rank,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1.0,Mikal Bridges,28.0,NYK,SF,64.0,64.0,2420.0,13.4,0.575,0.417,0.08,2.8,6.7,4.8,12.9,1.2,1.4,8.9,18.8,2.7,1.4,4.0,0.08,0.2,-1.1,-0.9,0.7,
2.0,Josh Hart,29.0,NYK,SG,61.0,61.0,2307.0,17.1,0.633,0.32,0.283,6.6,22.6,14.7,19.5,1.9,0.9,15.4,15.5,4.9,2.8,7.7,0.16,1.5,1.4,2.9,2.9,
3.0,Anthony Edwards,23.0,MIN,SG,63.0,63.0,2296.0,19.6,0.59,0.494,0.303,2.4,15.6,9.1,21.4,1.5,1.5,12.5,31.3,3.1,2.9,6.0,0.126,4.2,-0.2,4.0,3.5,
4.0,Devin Booker,28.0,PHO,SG,59.0,59.0,2210.0,19.7,0.594,0.409,0.362,3.0,8.8,6.0,29.4,1.4,0.6,11.5,29.1,5.1,0.5,5.6,0.122,2.8,-2.1,0.7,1.5,
5.0,De'Aaron Fox,27.0,2TM,PG,61.0,61.0,2200.0,18.2,0.559,0.329,0.274,2.6,11.8,7.2,26.8,2.0,1.1,11.8,28.1,2.6,1.8,4.4,0.096,1.3,-1.0,0.3,1.3,
5.0,De'Aaron Fox,27.0,SAC,PG,45.0,45.0,1663.0,19.0,0.567,0.324,0.279,3.0,12.0,7.5,25.8,1.9,1.2,11.8,28.9,2.3,1.4,3.7,0.107,2.0,-0.8,1.2,1.3,
5.0,De'Aaron Fox,27.0,SAS,PG,16.0,16.0,537.0,15.7,0.533,0.345,0.259,1.4,11.2,6.3,29.8,2.2,0.8,11.8,25.5,0.4,0.4,0.7,0.064,-0.9,-1.5,-2.4,0.0,
6.0,Jayson Tatum,26.0,BOS,PF,60.0,60.0,2192.0,22.1,0.588,0.502,0.31,2.0,24.3,13.1,26.2,1.5,1.3,11.2,31.1,4.6,3.5,8.1,0.177,4.6,0.9,5.5,4.2,
7.0,Tyler Herro,25.0,MIA,SG,61.0,61.0,2173.0,19.0,0.595,0.525,0.234,1.2,15.2,8.3,27.4,1.1,0.6,11.5,28.1,3.3,2.1,5.3,0.118,3.6,-0.9,2.7,2.6,
8.0,Trae Young,26.0,ATL,PG,60.0,60.0,2172.0,17.4,0.557,0.474,0.401,1.3,8.2,4.6,46.3,1.5,0.5,18.3,29.5,2.6,1.0,3.6,0.08,2.6,-2.9,-0.3,0.9,
9.0,Jalen Brunson,28.0,NYK,PG,61.0,61.0,2162.0,22.1,0.606,0.321,0.373,1.3,8.1,4.8,32.5,1.3,0.3,10.4,29.6,6.9,1.2,8.1,0.18,4.8,-1.5,3.3,2.9,
10.0,Shai Gilgeous-Alexander,26.0,OKC,PG,63.0,63.0,2158.0,31.0,0.644,0.27,0.414,2.9,12.8,7.9,30.5,2.5,3.1,9.1,34.6,10.1,4.1,14.2,0.315,8.8,2.7,11.5,7.4,
11.0,Jalen Green,22.0,HOU,SG,65.0,65.0,2154.0,14.7,0.545,0.467,0.22,1.7,12.7,7.1,15.3,1.2,0.8,11.8,27.1,1.3,2.6,3.9,0.087,1.0,-0.6,0.3,1.3,
12.0,Jaden McDaniels,24.0,MIN,PF,66.0,66.0,2149.0,13.6,0.567,0.379,0.158,5.6,14.3,10.0,9.3,2.2,2.4,9.3,16.3,2.2,3.1,5.4,0.12,-1.1,1.4,0.2,1.2,
13.0,Nikola Jokić,29.0,DEN,C,59.0,59.0,2148.0,32.3,0.662,0.234,0.31,9.2,29.0,19.6,44.8,2.3,1.6,13.0,29.1,10.9,3.2,14.1,0.316,10.1,3.5,13.6,8.4,
14.0,Christian Braun,23.0,DEN,SG,64.0,62.0,2141.0,16.0,0.656,0.271,0.269,4.3,12.0,8.4,9.2,1.6,1.4,7.5,16.0,4.9,1.6,6.5,0.145,0.7,-0.4,0.3,1.2,
15.0,Bam Adebayo,27.0,MIA,C,62.0,62.0,2141.0,18.7,0.559,0.192,0.305,8.1,23.6,15.9,20.5,1.8,1.9,11.8,23.2,2.7,3.2,5.9,0.132,0.7,1.0,1.7,2.0,
