Rank,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
490.0,Johnny Furphy,20.0,IND,SG,40.0,0.0,6.8,0.6,1.6,0.365,0.3,0.9,0.306,0.3,0.7,0.444,0.452,0.2,0.2,1.0,0.4,0.8,1.2,0.3,0.3,0.2,0.2,0.7,1.7,
491.0,Jaylen Martin,21.0,2TM,SF,5.0,0.0,3.0,0.6,1.8,0.333,0.4,0.6,0.667,0.2,1.2,0.167,0.444,0.0,0.0,,0.2,0.8,1.0,0.0,0.0,0.0,0.0,0.2,1.6,
491.0,Jaylen Martin,21.0,BRK,SF,3.0,0.0,1.7,0.3,0.7,0.5,0.3,0.3,1.0,0.0,0.3,0.0,0.75,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,
491.0,Jaylen Martin,21.0,WAS,SF,2.0,0.0,5.0,1.0,3.5,0.286,0.5,1.0,0.5,0.5,2.5,0.2,0.357,0.0,0.0,,0.5,2.0,2.5,0.0,0.0,0.0,0.0,0.0,2.5,
492.0,Keshad Johnson,23.0,MIA,SF,10.0,0.0,5.7,0.7,1.2,0.583,0.1,0.4,0.25,0.6,0.8,0.75,0.625,0.1,0.6,0.167,0.2,1.5,1.7,0.3,0.1,0.4,0.3,0.5,1.6,
493.0,Baylor Scheierman,24.0,BOS,SG,17.0,0.0,7.8,0.5,2.1,0.257,0.2,1.4,0.174,0.3,0.7,0.417,0.314,0.3,0.4,0.833,0.3,1.2,1.5,0.7,0.3,0.0,0.1,0.5,1.6,
494.0,Armel Traoré,22.0,LAL,SF,9.0,0.0,7.4,0.7,2.1,0.316,0.0,0.8,0.0,0.7,1.3,0.5,0.316,0.2,0.8,0.286,0.2,1.4,1.7,0.1,0.4,0.2,0.3,0.7,1.6,
495.0,Jordan Walsh,20.0,BOS,PF,42.0,1.0,8.1,0.6,1.5,0.375,0.3,1.0,0.302,0.3,0.5,0.524,0.477,0.2,0.3,0.583,0.5,0.8,1.3,0.4,0.2,0.2,0.3,0.6,1.6,
496.0,Isaiah Crawford,23.0,SAC,SF,8.0,0.0,4.0,0.6,1.0,0.625,0.1,0.4,0.333,0.5,0.6,0.8,0.688,0.1,0.3,0.5,0.1,0.9,1.0,0.0,0.1,0.1,0.1,0.1,1.5,
497.0,Jazian Gortman,21.0,DAL,PG,16.0,0.0,3.6,0.6,1.4,0.391,0.3,0.7,0.364,0.3,0.8,0.417,0.478,0.1,0.3,0.5,0.1,0.3,0.3,0.4,0.1,0.1,0.3,0.6,1.5,
