Rank,W,L,W/L%,GB,PS/G,PA/G,SRS,Team
Cleveland Cavaliers (1),54,10,0.844,—,122.9,111.5,10.42,
Boston Celtics (2),47,18,0.723,7.5,116.9,108.2,8.26,
New York Knicks (3),41,23,0.641,13.0,117.1,112.7,3.9,
Milwaukee Bucks (4),36,27,0.571,17.5,114.6,112.5,1.45,
Indiana Pacers (5),35,28,0.556,18.5,116.4,115.4,0.35,
Detroit Pistons (6),36,29,0.554,18.5,114.7,113.1,1.19,
Atlanta Hawks (7),31,34,0.477,23.5,117.3,119.7,-2.24,
Orlando Magic (8),30,36,0.455,25.0,104.3,106.1,-2.29,
Miami Heat (9),29,35,0.453,25.0,110.0,110.5,-0.93,
Chicago Bulls (10),27,38,0.415,27.5,116.6,120.3,-3.76,
Brooklyn Nets (11),22,42,0.344,32.0,105.2,111.6,-6.31,
Philadelphia 76ers (12),22,42,0.344,32.0,109.5,114.4,-4.76,
Toronto Raptors (13),22,43,0.338,32.5,110.7,115.8,-4.23,
Charlotte Hornets (14),16,48,0.25,38.0,105.3,112.8,-7.67,
Washington Wizards (15),13,50,0.206,40.5,108.4,120.5,-11.51,
,53,12,0.815,—,119.7,107.1,12.47,Oklahoma City Thunder (1)
,42,23,0.646,11.0,121.5,116.6,4.81,Denver Nuggets (2)
,40,23,0.635,12.0,112.9,111.1,1.52,Los Angeles Lakers (3)
,41,24,0.631,12.0,122.6,116.8,5.5,Memphis Grizzlies (4)
,40,25,0.615,13.0,112.9,108.9,4.57,Houston Rockets (5)
,37,28,0.569,16.0,113.6,111.3,2.57,Golden State Warriors (6)
,37,29,0.561,16.5,112.8,109.2,4.32,Minnesota Timberwolves (7)
,35,29,0.547,17.5,110.8,108.7,2.32,Los Angeles Clippers (8)
,33,31,0.516,19.5,116.6,115.2,1.15,Sacramento Kings (9)
,33,33,0.5,20.5,114.8,114.5,0.96,Dallas Mavericks (10)
,30,35,0.462,23.0,114.5,116.5,-2.32,Phoenix Suns (11)
,28,38,0.424,25.5,110.6,114.7,-3.63,Portland Trail Blazers (12)
,26,37,0.413,26.0,113.7,116.1,-2.22,San Antonio Spurs (13)
,17,48,0.262,36.0,110.8,119.1,-7.43,New Orleans Pelicans (14)
,15,50,0.231,38.0,112.5,119.8,-6.8,Utah Jazz (15)
